slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
47611,vs ES,LPL Main,JackeyLove,ADC,Y,TES,3,-1125.0,91.7%,10300,4.4,2.9,5.6,304.2,41.7,145.2,69.0,41.4,83.05,83.05,100,,40,8.1
47611,vs LNG,LPL Main,Kramer,ADC,Y,LGD,3,-407.5,80%,9900,3.8,2.4,6.0,286.0,48.8,119.3,69.5,28.2,77.03,77.03,100,,59,7.8
47611,vs LGD,LPL Main,Light,ADC,Y,LNG,3,407.5,19.7%,9300,2.7,2.5,3.4,290.9,9.5,87.3,45.7,31.1,40.63,40.63,100,,32,4.4
47611,vs ES,LPL Main,Knight,MID,Y,TES,3,-1125.0,91.7%,9300,5.3,2.1,6.3,296.9,46.4,148.9,80.9,41.0,87.35,87.35,100,,49,9.4
47611,vs TES,LPL Main,rat,ADC,N,ES,3,1125.0,8.2%,8900,3.3,2.3,4.5,284.8,22.3,98.0,52.3,30.3,52.58,52.58,100,,42,5.9
47611,vs ES,LPL Main,Karsa,JNG,Y,TES,3,-1125.0,91.7%,8800,2.3,3.0,7.9,168.0,31.0,115.2,61.2,33.7,64.69,64.69,100,,45,7.4
47611,vs LNG,LPL Main,xiye,MID,Y,LGD,3,-407.5,80%,8800,3.8,2.5,5.3,263.3,35.3,98.8,62.4,25.4,60.71,60.71,100,,59,6.9
47611,vs TES,LPL Main,Wink,ADC,Y,ES,3,1125.0,8.2%,8400,4.0,2.5,6.4,334.3,0.0,48.3,77.4,32.2,0.0,0.0,100,,58,0.0
47611,vs LGD,LPL Main,Maple,MID,Y,LNG,3,407.5,19.7%,8300,2.8,2.2,4.4,252.3,5.7,89.0,52.3,33.3,39.04,39.04,100,,36,4.7
47611,vs ES,LPL Main,369,TOP,Y,TES,3,-1125.0,91.7%,8300,2.6,3.0,6.4,261.9,32.6,112.6,60.6,32.0,64.61,64.61,100,,47,7.8
47611,vs LNG,LPL Main,Peanut,JNG,Y,LGD,3,-407.5,80%,8300,3.3,2.4,6.4,188.6,33.5,102.5,63.4,27.6,61.09,61.09,100,,56,7.4
47611,vs LGD,LPL Main,Xx,JNG,Y,LNG,3,407.5,19.7%,8000,1.5,2.8,5.1,166.4,4.8,68.8,40.8,25.6,30.4,30.4,100,,37,3.8
