slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
47299,vs DIG,LCS Main,Tactical,ADC,P,TL,1.0,-322.5,76.3%,10200.0,4.3,1.4,4.5,360.6,18.3,35.3,27.8,6.8,25.07,25.07,100.0,,76.0,2.5
47299,vs EG,LCS Main,Doublelift,ADC,P,TSM,1.0,-120.0,54.6%,9900.0,3.3,1.8,3.2,348.5,0.0,17.3,21.4,11.5,0.0,0.0,100.0,,46.0,0.0
47299,vs TSM,LCS Main,Bang,ADC,P,EG,1.0,120.0,45.5%,9500.0,3.1,1.3,4.7,305.2,0.0,54.9,30.2,22.6,21.01,21.01,100.0,,25.0,2.2
47299,vs DIG,LCS Main,Jensen,MID,P,TL,1.0,-322.5,76.3%,9100.0,2.6,1.6,4.7,321.1,15.2,36.0,22.0,8.3,23.5,23.5,100.0,,62.0,2.6
47299,vs TL,LCS Main,Johnsun,ADC,P,DIG,1.0,322.5,23.7%,9000.0,2.8,1.8,3.5,328.5,5.2,36.4,20.6,12.5,17.66,17.66,100.0,,39.0,2.0
47299,vs EG,LCS Main,Bjergsen,MID,P,TSM,1.0,-120.0,54.6%,8900.0,3.7,1.6,4.9,297.0,0.3,77.1,32.8,30.7,31.03,31.03,100.0,,6.0,3.5
47299,vs DIG,LCS Main,Broxah,JNG,P,TL,1.0,-322.5,76.3%,8800.0,1.5,1.6,6.2,186.3,8.6,33.6,19.2,10.0,18.55,18.55,100.0,,48.0,2.1
47299,vs TSM,LCS Main,Goldenglue,MID,P,EG,1.0,120.0,45.5%,8500.0,2.4,2.6,4.1,268.8,0.0,19.1,19.9,12.7,0.0,0.0,100.0,,36.0,0.0
47299,vs EG,LCS Main,Spica,JNG,P,TSM,1.0,-120.0,54.6%,8300.0,1.8,2.4,5.7,169.2,21.5,48.0,17.6,10.6,32.13,32.13,100.0,,40.0,3.9
47299,vs DIG,LCS Main,Impact,TOP,P,TL,1.0,-322.5,76.3%,8200.0,2.1,2.4,3.9,266.1,6.7,31.7,17.0,10.0,16.7,16.7,100.0,,41.0,2.0
47299,vs TSM,LCS Main,Svenskeren,JNG,P,EG,1.0,120.0,45.5%,8000.0,1.6,3.0,6.1,161.6,0.0,47.8,23.3,21.3,15.86,15.86,100.0,,9.0,2.0
47299,vs TSM,LCS Main,Jiizuke,MID,D,EG,1.0,120.0,45.5%,8000.0,3.5,2.5,4.6,308.3,0.0,36.0,30.4,24.0,0.0,0.0,100.0,,21.0,0.0
47299,vs TL,LCS Main,Fenix,MID,P,DIG,1.0,322.5,23.7%,8000.0,3.3,1.8,4.7,269.5,5.5,44.0,23.0,15.4,20.88,20.88,100.0,,33.0,2.6
47299,vs DIG,LCS Main,CoreJJ,SUP,P,TL,1.0,-322.5,76.3%,7900.0,0.5,1.7,7.5,40.1,6.1,29.6,15.5,9.4,15.45,15.45,100.0,,39.0,2.0
47299,vs DIG,LCS Main,Team Liquid,TEAM,Y,TL,1.0,-322.5,76.3%,7800.0,0.0,0.0,0.0,0.0,10.0,30.8,16.6,8.3,18.34,18.34,100.0,,50.0,2.4
47299,vs EG,LCS Main,Broken Blade,TOP,P,TSM,1.0,-120.0,54.6%,7800.0,2.3,2.3,5.2,256.3,0.0,62.1,26.8,26.7,22.08,22.08,100.0,,0.0,2.8
47299,vs TSM,LCS Main,Huni,TOP,P,EG,1.0,120.0,45.5%,7700.0,1.7,3.3,4.7,264.4,0.0,15.6,16.9,10.4,0.0,0.0,100.0,,38.0,0.0
