slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,AvgTur,AvgDrg,AvgBrns,AvgLgth,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
48647,vs KT,LCK Main,Ghost,ADC,P,DWG,3,-1225.0,92.6%,10400,3.3,1.8,6.1,274.6,0.0,0.0,0.0,31:57,28.4,107.4,61.9,31.6,60.02,60.02,100,,49,5.8
48647,vs AF,LCK Main,Ruler,ADC,P,GEN,3,-410.0,80.6%,9800,4.6,1.3,5.0,320.8,0.0,0.0,0.0,32:19,43.8,109.8,77.5,26.4,70.16,70.16,100,,66,7.2
48647,vs KT,LCK Main,ShowMaker,MID,P,DWG,3,-1225.0,92.6%,9500,3.5,1.2,6.0,273.9,0.0,0.0,0.0,31:57,39.7,120.2,65.1,32.2,71.9,71.9,100,,51,7.6
48647,vs AF,LCK Main,Bdd,MID,P,GEN,3,-410.0,80.6%,9200,3.7,1.3,6.0,277.3,0.0,0.0,0.0,32:19,46.2,103.5,74.6,22.9,69.12,69.12,100,,69,7.5
48647,vs GEN,LCK Main,Mystic,ADC,P,AF,3,410.0,19.6%,9200,3.7,2.5,4.2,321.7,0.0,0.0,0.0,33:29,6.9,90.4,62.2,33.4,40.26,40.26,100,,46,4.4
48647,vs DWG,LCK Main,Aiming,ADC,P,KT,3,1225.0,7.5%,8900,4.1,1.6,4.2,319.2,0.0,0.0,0.0,32:16,11.6,94.6,66.8,33.2,44.78,44.78,100,,50,5.0
48647,vs KT,LCK Main,Canyon,JNG,P,DWG,3,-1225.0,92.6%,8700,2.2,2.1,6.7,177.1,0.0,0.0,0.0,31:57,28.7,100.4,53.7,28.7,57.39,57.39,100,,47,6.6
48647,vs GEN,LCK Main,Fly,MID,P,AF,3,410.0,19.6%,8600,2.3,2.3,5.2,260.3,0.0,0.0,0.0,33:55,2.7,81.4,51.7,31.5,34.17,34.17,100,,39,4.0
48647,vs DWG,LCK Main,Kuro,MID,D,KT,3,1225.0,7.5%,8400,2.1,1.6,5.1,264.1,0.0,0.0,0.0,32:01,0.0,38.0,52.5,25.3,0.0,0.0,100,,52,0.0
48647,vs KT,LCK Main,Nuguri,TOP,P,DWG,3,-1225.0,92.6%,8400,3.4,2.9,4.8,278.3,0.0,0.0,0.0,31:57,30.1,105.1,56.7,30.0,60.12,60.12,100,,47,7.2
48647,vs AF,LCK Main,Clid,JNG,P,GEN,3,-410.0,80.6%,8300,2.5,1.9,7.3,177.3,0.0,0.0,0.0,32:19,36.5,96.8,66.6,24.1,60.61,60.61,100,,64,7.3
48647,vs AF,LCK Main,Rascal,TOP,P,GEN,3,-410.0,80.6%,8000,2.7,1.9,6.1,266.3,0.0,0.0,0.0,32:19,36.8,96.8,65.8,24.0,60.83,60.83,100,,64,7.6
