slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
47751,vs APK,LCK LPL Main,Teddy,ADC,P,T1,3,-1900.0,95.2%,10200,4.2,1.3,5.2,348.1,55.0,125.5,72.9,28.2,83.23,83.23,100,,61,8.2
47751,vs RW,LCK LPL Main,SamD,ADC,N,V5,3,-335.0,76.9%,9900,3.8,1.7,5.5,305.2,0.0,39.2,72.8,26.1,0.0,0.0,100,,64,0.0
47751,vs BLG,LCK LPL Main,Gala,ADC,Y,RNG,3,-235.0,69.9%,9700,3.1,2.0,5.8,304.9,27.4,109.7,64.3,32.9,60.32,60.32,100,,49,6.2
47751,vs GEN,LCK LPL Main,Ghost,ADC,P,DWG,3,-160.0,61.3%,9500,3.3,2.0,5.9,277.1,22.9,106.2,59.7,33.3,56.23,56.23,100,,44,5.9
47751,vs DWG,LCK LPL Main,Ruler,ADC,P,GEN,3,160.0,38.5%,9300,4.6,1.3,5.0,320.4,25.3,91.3,77.9,26.4,51.7,51.7,100,,66,5.6
47751,vs RNG,LCK LPL Main,Wings,ADC,Y,BLG,3,235.0,29.9%,9000,2.9,2.3,4.7,325.2,19.1,90.8,61.0,28.7,47.78,47.78,100,,53,5.3
47751,vs APK,LCK LPL Main,Clozer,MID,P,T1,3,-1900.0,95.2%,9000,4.5,1.0,3.3,271.8,60.1,82.8,68.9,9.1,69.19,69.19,100,,0,7.7
47751,vs V5,LCK LPL Main,ZWuji,ADC,Y,RW,3,335.0,23%,8900,3.4,2.7,6.2,279.2,9.4,88.4,68.8,31.6,40.99,40.99,100,,54,4.6
47751,vs APK,LCK LPL Main,Faker,MID,D,T1,3,-1900.0,95.2%,8900,3.2,1.6,5.1,301.8,0.0,41.3,63.2,27.5,0.0,0.0,100,,56,0.0
47751,vs RW,LCK LPL Main,Mole,MID,Y,V5,3,-335.0,76.9%,8800,2.8,3.1,5.1,227.0,39.7,103.9,51.0,25.7,65.35,65.35,100,,50,7.4
47751,vs BLG,LCK LPL Main,Betty,ADC,N,RNG,3,-235.0,69.9%,8800,4.1,1.6,5.2,284.1,0.0,44.3,72.1,29.5,0.0,0.0,100,,59,0.0
47751,vs APK,LCK LPL Main,Canna,TOP,P,T1,3,-1900.0,95.2%,8700,2.8,1.7,5.3,271.2,39.1,109.8,61.7,28.3,67.39,67.39,100,,54,7.7
47751,vs T1,LCK LPL Main,HyBriD,ADC,P,APK,3,1900.0,5%,8600,3.5,2.5,2.9,346.8,5.6,81.3,53.0,30.3,35.89,35.89,100,,43,4.2
47751,vs BLG,LCK LPL Main,Xiaohu,MID,Y,RNG,3,-235.0,69.9%,8600,3.3,2.3,6.0,277.4,41.0,110.2,68.6,27.7,68.65,68.65,100,,60,8.0
47751,vs APK,LCK LPL Main,Cuzz,JNG,P,T1,3,-1900.0,95.2%,8600,1.7,1.4,7.0,182.6,30.5,101.8,54.8,28.5,59.01,59.01,100,,48,6.9
47751,vs RW,LCK LPL Main,y4,ADC,Y,V5,3,-335.0,76.9%,8500,2.4,3.3,4.5,175.0,47.2,82.0,33.0,13.9,61.12,61.12,100,,58,7.2
47751,vs RW,LCK LPL Main,Biubiu,TOP,Y,V5,3,-335.0,76.9%,8500,2.3,2.5,5.6,217.4,3.1,63.9,56.1,24.3,27.42,27.42,100,,57,3.2
47751,vs T1,LCK LPL Main,Trigger,ADC,P,APK,3,1900.0,5%,8500,2.6,2.4,2.6,303.6,0.0,51.7,29.2,24.2,15.38,15.38,100,,17,1.8
47751,vs APK,LCK LPL Main,Gumayushi,ADC,D,T1,3,-1900.0,95.2%,8500,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0
47751,vs GEN,LCK LPL Main,Nuclear,ADC,D,DWG,3,-160.0,61.3%,8500,2.2,1.6,3.6,296.0,0.0,38.7,43.0,25.8,0.0,0.0,100,,40,0.0
47751,vs GEN,LCK LPL Main,ShowMaker,MID,P,DWG,3,-160.0,61.3%,8500,3.6,1.3,5.5,276.9,43.8,125.5,62.0,32.7,76.45,76.45,100,,47,9.0
47751,vs RW,LCK LPL Main,Weiwei,JNG,Y,V5,3,-335.0,76.9%,8400,3.3,1.6,6.8,183.3,32.9,89.9,70.4,22.8,55.7,55.7,100,,68,6.6
47751,vs DWG,LCK LPL Main,Bdd,MID,P,GEN,3,160.0,38.5%,8400,3.6,1.3,6.0,279.3,26.9,84.9,74.5,23.2,50.06,50.06,100,,69,6.0
47751,vs GEN,LCK LPL Main,Nuguri,TOP,P,DWG,3,-160.0,61.3%,8400,2.9,3.1,4.9,281.1,24.0,98.3,52.9,29.7,53.7,53.7,100,,44,6.4
47751,vs BLG,LCK LPL Main,New,TOP,Y,RNG,3,-235.0,69.9%,8300,2.2,2.4,4.7,247.5,32.9,89.9,51.9,22.8,55.65,55.65,100,,56,6.7
47751,vs BLG,LCK LPL Main,XLB,JNG,Y,RNG,3,-235.0,69.9%,8200,2.7,2.5,6.9,162.6,34.1,104.8,62.3,28.3,62.35,62.35,100,,55,7.6
47751,vs RNG,LCK LPL Main,FoFo,MID,Y,BLG,3,235.0,29.9%,8100,3.3,2.1,4.8,272.9,23.1,92.3,63.2,27.7,50.76,50.76,100,,56,6.3
47751,vs DWG,LCK LPL Main,Rascal,TOP,P,GEN,3,160.0,38.5%,8100,2.5,1.8,6.3,266.4,19.2,79.7,65.4,24.2,43.35,43.35,100,,63,5.4
47751,vs GEN,LCK LPL Main,Canyon,JNG,P,DWG,3,-160.0,61.3%,8100,2.1,2.1,6.5,177.4,31.3,105.3,50.6,29.6,60.86,60.86,100,,42,7.5
47751,vs RNG,LCK LPL Main,Kingen,TOP,Y,BLG,3,235.0,29.9%,8000,2.1,3.4,4.1,232.1,3.7,71.2,38.8,27.0,30.68,30.68,100,,30,3.8
47751,vs APK,LCK LPL Main,Effort,SUP,P,T1,3,-1900.0,95.2%,8000,1.0,2.0,8.2,41.4,27.9,86.4,49.3,23.4,51.25,51.25,100,,53,6.4
47751,vs APK,LCK LPL Main,T1,TEAM,Y,T1,3,-1900.0,95.2%,8000,0.0,0.0,0.0,0.0,39.9,87.6,49.5,19.1,58.98,58.98,100,,61,7.4
47751,vs V5,LCK LPL Main,Ruby,MID,N,RW,3,335.0,23%,7900,2.8,3.4,5.5,232.8,0.0,42.9,52.1,28.6,0.0,0.0,100,,45,0.0
47751,vs V5,LCK LPL Main,Wuming,MID,Y,RW,3,335.0,23%,7900,3.2,2.3,7.5,236.7,0.1,85.9,64.8,34.3,34.4,34.4,100,,47,4.4
47751,vs DWG,LCK LPL Main,Clid,JNG,P,GEN,3,160.0,38.5%,7900,2.5,1.8,7.3,177.9,18.1,77.3,66.3,23.7,41.78,41.78,100,,64,5.3
47751,vs RW,LCK LPL Main,Victory Five,TEAM,Y,V5,3,-335.0,76.9%,7800,0.0,0.0,0.0,0.0,28.9,76.2,28.2,18.9,47.84,47.84,100,,33,6.1
47751,vs RW,LCK LPL Main,Ppgod,SUP,Y,V5,3,-335.0,76.9%,7800,0.4,2.7,9.2,31.2,30.1,84.9,50.6,21.9,52.0,52.0,100,,57,6.7
47751,vs V5,LCK LPL Main,Holder,TOP,Y,RW,3,335.0,23%,7800,2.4,3.5,5.9,219.4,0.0,70.3,47.3,31.5,23.0,23.0,100,,33,2.9
47751,vs RNG,LCK LPL Main,Meteor,JNG,Y,BLG,3,235.0,29.9%,7700,2.1,2.5,6.9,182.4,18.0,81.0,60.1,25.2,43.23,43.23,100,,58,5.6
47751,vs BLG,LCK LPL Main,Ming,SUP,Y,RNG,3,-235.0,69.9%,7700,0.8,2.6,8.5,51.4,28.9,89.6,51.3,24.3,53.19,53.19,100,,53,6.9
47751,vs V5,LCK LPL Main,Haro,JNG,Y,RW,3,335.0,23%,7600,4.1,2.7,5.8,201.6,4.0,89.0,68.6,34.0,38.03,38.03,100,,50,5.0
47751,vs T1,LCK LPL Main,ikssu,TOP,P,APK,3,1900.0,5%,7600,2.0,3.6,3.8,234.5,1.4,60.6,39.1,23.7,25.09,25.09,100,,39,3.3
47751,vs BLG,LCK LPL Main,Royal Never Give Up,TEAM,Y,RNG,3,-235.0,69.9%,7600,0.0,0.0,0.0,0.0,26.6,72.4,38.2,18.3,44.92,44.92,100,,52,5.9
47751,vs GEN,LCK LPL Main,BeryL,SUP,P,DWG,3,-160.0,61.3%,7600,1.3,2.7,7.8,70.9,13.3,83.3,45.6,28.0,41.31,41.31,100,,39,5.4
47751,vs RNG,LCK LPL Main,l3est16,JNG,N,BLG,3,235.0,29.9%,7500,1.7,2.8,4.0,171.1,0.0,24.0,34.2,16.0,0.0,0.0,100,,53,0.0
47751,vs T1,LCK LPL Main,Mickey,MID,P,APK,3,1900.0,5%,7500,2.0,2.9,3.4,275.3,0.0,47.6,27.9,23.2,12.84,12.84,100,,17,1.7
47751,vs APK,LCK LPL Main,Ellim,JNG,D,T1,3,-1900.0,95.2%,7500,1.9,1.7,8.5,170.4,0.0,43.1,57.1,28.7,0.0,0.0,100,,50,0.0
47751,vs GEN,LCK LPL Main,DAMWON Gaming,TEAM,Y,DWG,3,-160.0,61.3%,7500,0.0,0.0,0.0,0.0,24.7,71.9,42.5,18.9,43.57,43.57,100,,56,5.8
47751,vs RW,LCK LPL Main,xiaohan,JNG,N,V5,3,-335.0,76.9%,7400,2.5,4.1,4.4,143.7,0.0,15.9,30.1,10.6,0.0,0.0,100,,65,0.0
47751,vs DWG,LCK LPL Main,Life,SUP,P,GEN,3,160.0,38.5%,7400,0.6,1.8,8.8,43.1,3.3,59.6,53.7,22.5,25.83,25.83,100,,58,3.5
47751,vs DWG,LCK LPL Main,Gen.G,TEAM,Y,GEN,3,160.0,38.5%,7400,0.0,0.0,0.0,0.0,22.9,63.4,47.4,16.2,39.12,39.12,100,,66,5.3
47751,vs BLG,LCK LPL Main,Cryin,MID,N,RNG,3,-235.0,69.9%,7400,5.0,2.1,6.6,281.2,0.0,57.3,81.3,38.2,0.0,0.0,100,,53,0.0
47751,vs RW,LCK LPL Main,clx,MID,N,V5,3,-335.0,76.9%,7300,1.5,4.0,4.6,175.7,0.0,24.9,28.0,16.6,0.0,0.0,100,,41,0.0
47751,vs T1,LCK LPL Main,Flawless,JNG,P,APK,3,1900.0,5%,7300,1.7,3.2,4.6,171.0,0.4,62.4,38.7,24.8,25.17,25.17,100,,36,3.4
47751,vs RNG,LCK LPL Main,XinMo,SUP,Y,BLG,3,235.0,29.9%,7200,0.5,3.3,6.9,33.2,4.8,59.6,37.2,21.9,26.72,26.72,100,,41,3.7
47751,vs RNG,LCK LPL Main,Bilibili Gaming,TEAM,Y,BLG,3,235.0,29.9%,7200,0.0,0.0,0.0,0.0,18.7,61.5,36.0,17.1,35.83,35.83,100,,53,5.0
47751,vs V5,LCK LPL Main,Ley,SUP,Y,RW,3,335.0,23%,7100,0.8,3.5,9.0,46.2,0.0,65.8,49.2,26.7,25.72,25.72,100,,46,3.6
47751,vs T1,LCK LPL Main,Kuma,JNG,P,APK,3,1900.0,5%,7100,0.8,3.0,4.8,166.8,1.6,49.1,22.5,19.0,20.6,20.6,100,,16,2.9
47751,vs V5,LCK LPL Main,Rogue Warriors,TEAM,Y,RW,3,335.0,23%,7100,0.0,0.0,0.0,0.0,14.1,56.3,32.0,16.9,30.97,30.97,100,,47,4.4
47751,vs V5,LCK LPL Main,Youdang,JNG,N,RW,3,335.0,23%,7000,1.5,4.3,3.8,132.8,0.0,13.2,20.8,8.8,0.0,0.0,100,,0,0.0
47751,vs RNG,LCK LPL Main,ADD,TOP,N,BLG,3,235.0,29.9%,7000,2.0,3.7,6.1,233.2,0.0,39.0,34.8,26.0,0.0,0.0,100,,25,0.0
47751,vs RNG,LCK LPL Main,Jinjiao,SUP,N,BLG,3,235.0,29.9%,7000,3.3,2.3,4.5,301.0,0.0,44.0,63.3,29.3,0.0,0.0,100,,54,0.0
47751,vs V5,LCK LPL Main,Crazy,TOP,N,RW,3,335.0,23%,7000,1.8,2.9,4.5,233.2,0.0,48.2,36.5,32.1,0.0,0.0,100,,12,0.0
47751,vs T1,LCK LPL Main,Alphamong,TOP,P,APK,3,1900.0,5%,7000,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0
47751,vs T1,LCK LPL Main,Keine,MID,P,APK,3,1900.0,5%,7000,1.7,2.1,3.7,277.0,5.2,62.9,35.5,23.1,28.28,28.28,100,,35,4.0
47751,vs BLG,LCK LPL Main,S1xu,JNG,N,RNG,3,-235.0,69.9%,7000,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0
47751,vs APK,LCK LPL Main,Roach,TOP,D,T1,3,-1900.0,95.2%,7000,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0
47751,vs BLG,LCK LPL Main,705,TOP,N,RNG,3,-235.0,69.9%,7000,1.4,3.1,5.4,238.0,0.0,34.4,45.4,22.9,0.0,0.0,100,,50,0.0
47751,vs GEN,LCK LPL Main,Flame,TOP,D,DWG,3,-160.0,61.3%,7000,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0
47751,vs RW,LCK LPL Main,ping,JNG,N,V5,3,-335.0,76.9%,7000,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0
47751,vs T1,LCK LPL Main,Secret,SUP,P,APK,3,1900.0,5%,6800,0.3,3.2,5.8,33.8,0.0,49.2,27.1,24.2,12.91,12.91,100,,11,1.9
47751,vs T1,LCK LPL Main,SeolHaeOne Prince,TEAM,Y,APK,3,1900.0,5%,6700,0.0,0.0,0.0,0.0,0.0,50.1,34.8,21.1,18.43,18.43,100,,39,2.8
47751,vs DWG,LCK LPL Main,Kellin,SUP,D,GEN,3,160.0,38.5%,6700,0.2,2.2,6.0,30.5,0.0,48.0,30.6,32.0,0.0,0.0,100,,0,0.0
47751,vs RW,LCK LPL Main,ZYF,SUP,N,V5,3,-335.0,76.9%,6500,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0
47751,vs T1,LCK LPL Main,Mia,SUP,P,APK,3,1900.0,5%,6500,1.5,2.8,6.3,49.0,0.0,46.9,35.2,28.0,4.86,4.86,100,,20,0.7
47751,vs GEN,LCK LPL Main,Hoit,SUP,D,DWG,3,-160.0,61.3%,6500,0.3,1.6,4.0,31.5,0.0,31.2,21.1,20.8,0.0,0.0,100,,1,0.0
47751,vs APK,LCK LPL Main,Kuri,SUP,D,T1,3,-1900.0,95.2%,6500,0.0,3.5,4.5,24.0,0.0,0.0,12.0,0.0,0.0,0.0,100,,0,0.0
47751,vs V5,LCK LPL Main,xunyu,SUP,N,RW,3,335.0,23%,6500,1.3,8.0,5.5,41.8,0.0,11.9,12.7,7.9,0.0,0.0,100,,0,0.0
47751,vs APK,LCK LPL Main,Teddy - STAR,ADC,P,T1,3,-1900.0,95.2%,10200,4.2,1.3,5.2,348.1,55.0,125.5,72.9,28.2,124.85,124.85,100,,61,8.2
47751,vs RW,LCK LPL Main,SamD - STAR,ADC,N,V5,3,-335.0,76.9%,9900,3.8,1.7,5.5,305.2,0.0,39.2,72.8,26.1,0.0,0.0,100,,64,0.0
47751,vs BLG,LCK LPL Main,Gala - STAR,ADC,Y,RNG,3,-235.0,69.9%,9700,3.1,2.0,5.8,304.9,27.4,109.7,64.3,32.9,90.48,90.48,100,,49,6.2
