slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
47987,vs XL,LEC Main,Perkz,ADC,P,G2,1,-295.0,74.6%,10300,4.2,2.6,5.4,284.1,0.0,92.4,43.1,44.2,26.14,26.14,100,,0,2.5
47987,vs S04,LEC Main,Carzzy,ADC,P,MAD,1,-200.0,66.7%,10100,3.8,1.9,6.2,250.5,0.0,75.4,35.7,33.4,25.3,25.3,100,,6,2.5
47987,vs SK,LEC Main,Rekkles,ADC,P,FNC,1,-142.5,58.8%,9800,3.7,1.4,6.5,306.8,0.0,77.1,37.6,32.1,28.96,28.96,100,,15,3.0
47987,vs OG,LEC Main,Hans sama,ADC,P,RGE,1,-205.0,67.1%,9500,3.4,1.7,4.8,311.3,2.3,54.6,28.0,20.9,23.24,23.24,100,,25,2.4
47987,vs XL,LEC Main,Caps,MID,P,G2,1,-295.0,74.6%,9400,4.7,2.5,7.2,271.4,0.0,105.2,49.1,48.9,31.86,31.86,100,,0,3.4
47987,vs VIT,LEC Main,Kobbe,ADC,P,MSF,1,-117.5,54.1%,9300,3.0,1.5,4.6,326.5,0.0,51.3,29.4,24.5,14.51,14.51,100,,17,1.6
47987,vs XL,LEC Main,Jankos,JNG,P,G2,1,-295.0,74.6%,9200,3.7,2.4,7.3,164.1,0.0,87.4,41.0,39.5,28.15,28.15,100,,4,3.1
47987,vs MAD,LEC Main,Neon,ADC,P,S04,1,200.0,33.3%,9200,3.1,2.5,4.6,286.5,0.0,35.1,21.7,14.9,12.71,12.71,100,,31,1.4
47987,vs S04,LEC Main,Humanoid,MID,P,MAD,1,-200.0,66.7%,9100,3.8,2.5,5.7,286.6,0.1,62.4,33.2,24.9,25.01,25.01,100,,25,2.7
47987,vs S04,LEC Main,Shad0w,JNG,P,MAD,1,-200.0,66.7%,9000,3.3,2.3,6.9,164.8,0.0,74.4,33.3,33.0,24.91,24.91,100,,1,2.8
47987,vs MSF,LEC Main,Comp,ADC,P,VIT,1,117.5,46%,8900,3.6,2.5,3.5,348.2,11.2,43.7,22.2,13.0,24.18,24.18,100,,41,2.7
47987,vs SK,LEC Main,Nemesis,MID,P,FNC,1,-142.5,58.8%,8800,3.0,2.2,5.2,291.5,0.0,63.7,30.7,28.0,21.68,21.68,100,,9,2.5
47987,vs SK,LEC Main,SelfMade,JNG,P,FNC,1,-142.5,58.8%,8800,3.6,2.5,6.3,183.7,0.0,72.5,32.7,32.5,23.71,23.71,100,,1,2.7
47987,vs FNC,LEC Main,Crownshot,ADC,P,SK,1,142.5,41.2%,8600,2.9,1.8,4.1,341.1,15.0,42.7,22.0,11.1,26.08,26.08,100,,50,3.0
47987,vs OG,LEC Main,Larssen,MID,P,RGE,1,-205.0,67.1%,8500,4.5,1.7,4.1,317.4,8.3,55.0,29.6,18.7,26.98,26.98,100,,37,3.2
47987,vs XL,LEC Main,Wunder,TOP,P,G2,1,-295.0,74.6%,8500,2.8,2.8,6.1,238.2,0.0,77.2,35.8,35.5,23.97,23.97,100,,1,2.8
47987,vs OG,LEC Main,Inspired,JNG,P,RGE,1,-205.0,67.1%,8400,1.8,1.6,7.0,161.8,2.4,48.9,24.4,18.6,21.04,21.04,100,,24,2.5
47987,vs VIT,LEC Main,Febiven,MID,P,MSF,1,-117.5,54.1%,8300,2.7,2.7,3.8,286.2,8.5,46.5,22.0,15.2,23.68,23.68,100,,31,2.9
47987,vs S04,LEC Main,Orome,TOP,P,MAD,1,-200.0,66.7%,8300,2.3,2.4,5.9,237.2,0.0,54.9,27.0,23.1,20.27,20.27,100,,14,2.4
47987,vs G2,LEC Main,Patrik,ADC,P,XL,1,295.0,25.3%,8200,3.0,2.2,3.5,315.5,9.7,41.9,20.1,12.9,22.55,22.55,100,,36,2.8
47987,vs VIT,LEC Main,Razork,JNG,P,MSF,1,-117.5,54.1%,8100,2.3,3.2,5.3,167.5,10.4,44.9,20.0,13.8,24.2,24.2,100,,31,3.0
47987,vs MAD,LEC Main,Abbedagge,MID,P,S04,1,200.0,33.3%,8100,3.3,2.2,4.2,345.7,18.8,50.6,22.5,12.7,31.54,31.54,100,,44,3.9
47987,vs XL,LEC Main,Mikyx,SUP,P,G2,1,-295.0,74.6%,8100,1.1,2.7,9.6,50.0,0.0,79.1,34.3,39.2,20.32,20.32,100,,0,2.5
47987,vs XL,LEC Main,G2 Esports,TEAM,Y,G2,1,-295.0,74.6%,8000,0.0,0.0,0.0,0.0,0.0,53.3,24.5,24.6,16.35,16.35,100,,0,2.0
