slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,AvgTur,AvgDrg,AvgBrns,AvgLgth,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
48706,vs C9,LEC LCS Playoffs,Bang - STAR,ADC,P,EG,5,330.0,23.3%,8800,2.9,1.4,4.7,304.5,0.0,0.0,0.0,33:45,52.6,127.6,33.4,30.0,123.93,123.93,100,,10,9.4
48706,vs MAD,LEC LCS Playoffs,Jankos - STAR,JNG,P,G2,5,-235.0,69.9%,8600,3.5,2.4,7.6,164.7,0.0,0.0,0.0,31:31,79.1,174.9,40.3,38.3,176.12,176.12,100,,5,13.7
48706,vs G2,LEC LCS Playoffs,Humanoid - STAR,MID,P,MAD,5,235.0,29.9%,8400,3.8,2.6,5.5,288.3,0.0,0.0,0.0,31:47,69.1,130.3,32.2,24.5,140.34,140.34,100,,24,11.1
48706,vs EG,LEC LCS Playoffs,Blaber - STAR,JNG,P,C9,5,-330.0,76.9%,8200,4.0,2.3,7.0,190.5,0.0,0.0,0.0,29:58,67.4,151.4,39.0,33.6,151.47,151.47,100,,14,12.3
48706,vs MAD,LEC LCS Playoffs,Wunder - STAR,TOP,P,G2,5,-235.0,69.9%,8200,2.9,2.8,6.1,240.0,0.0,0.0,0.0,31:31,65.8,151.8,35.2,34.4,150.29,150.29,100,,2,12.2
48706,vs C9,LEC LCS Playoffs,Goldenglue - STAR,MID,P,EG,5,330.0,23.3%,8000,2.5,2.5,4.1,277.5,0.0,0.0,0.0,34:06,10.5,87.0,27.3,30.6,61.62,61.62,100,,0,5.1
48706,vs MAD,LEC LCS Playoffs,Mikyx - STAR,SUP,P,G2,5,-235.0,69.9%,8000,1.1,2.9,9.5,49.1,0.0,0.0,0.0,31:31,44.8,140.0,33.3,38.1,124.29,124.29,100,,0,10.4
48706,vs G2,LEC LCS Playoffs,Shad0w - STAR,JNG,P,MAD,5,235.0,29.9%,7900,3.2,2.5,6.7,163.9,0.0,0.0,0.0,31:47,55.5,136.7,31.7,32.5,131.99,131.99,100,,0,11.1
48706,vs EG,LEC LCS Playoffs,Licorice - STAR,TOP,P,C9,5,-330.0,76.9%,7800,2.6,2.1,5.9,246.0,0.0,0.0,0.0,29:58,48.7,130.4,33.5,32.7,122.06,122.06,100,,2,10.4
48706,vs G2,LEC LCS Playoffs,Orome - STAR,TOP,P,MAD,5,235.0,29.9%,7600,2.3,2.5,5.7,237.3,0.0,0.0,0.0,31:47,52.9,109.1,26.2,22.5,113.06,113.06,100,,14,9.9
48706,vs EG,LEC LCS Playoffs,Vulcan - STAR,SUP,P,C9,5,-330.0,76.9%,7600,1.2,1.2,9.4,33.9,0.0,0.0,0.0,29:58,50.9,122.9,31.7,28.8,119.58,119.58,100,,9,10.5
48706,vs C9,LEC LCS Playoffs,Svenskeren - STAR,JNG,P,EG,5,330.0,23.3%,7400,1.7,3.1,5.9,168.1,0.0,0.0,0.0,33:45,28.6,108.9,27.4,32.1,91.1,91.1,100,,0,8.2
48706,vs C9,LEC LCS Playoffs,Huni - STAR,TOP,P,EG,5,330.0,23.3%,7300,1.8,3.3,4.6,264.7,0.0,0.0,0.0,35:15,10.2,73.7,22.2,25.4,53.4,53.4,100,,0,4.9
48706,vs G2,LEC LCS Playoffs,Kaiser - STAR,SUP,P,MAD,5,235.0,29.9%,7200,1.2,2.0,9.1,55.3,0.0,0.0,0.0,31:47,54.4,102.9,25.4,19.4,110.63,110.63,100,,24,10.2
48706,vs C9,LEC LCS Playoffs,Jiizuke - STAR,MID,D,EG,5,330.0,23.3%,7200,3.5,2.5,4.6,308.3,0.0,0.0,0.0,33:35,0.0,36.0,30.4,24.0,0.0,0.0,100,,21,0.0
48706,vs C9,LEC LCS Playoffs,Kumo - STAR,TOP,D,EG,5,330.0,23.3%,6900,2.3,2.9,4.6,258.0,0.0,0.0,0.0,33:50,0.0,27.5,22.7,18.3,0.0,0.0,100,,19,0.0
48706,vs C9,LEC LCS Playoffs,Zeyzal - STAR,SUP,P,EG,5,330.0,23.3%,6900,1.0,2.1,6.8,43.4,0.0,0.0,0.0,33:45,26.9,90.4,22.9,25.4,78.48,78.48,100,,0,7.6
48706,vs MAD,LEC LCS Playoffs,P1noy - STAR,ADC,D,G2,5,-235.0,69.9%,6200,3.5,2.5,5.5,115.5,0.0,0.0,0.0,30:53,0.0,9.9,21.3,6.6,0.0,0.0,100,,0,0.0
