id,site,league,slate,site_id,name,period,max_entries,max_entrants,cost,prizepool,places_paid,total_entrants,winning_score,mincash_score,startdate,winning_payout,mincash_payout,DateTime,Title,game_cnt,winner_cnt,winner,has_lineups
531901131,draftkings,LOL,38757,90265794,LOL $35K Shock Blast [$10K to 1st] (LPL-LEC-LCS),2020-08-23,82,2745,15.0,35000.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531901113,draftkings,LOL,38572,90265177,LOL $20K Kill Lane [$5K to 1st] (LCK),2020-08-23,58,1960,12.0,20000.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531901126,draftkings,LOL,38572,90265158,LOL $1K First Blood (LCK),2020-08-23,20,1189,1.0,1000.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531901128,draftkings,LOL,38572,90265164,LOL $250 Quarter Jukebox [Just $0.25!] (LCK),2020-08-23,20,1189,0.25,250.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531901129,draftkings,LOL,38572,90265163,LOL $100 Dime Time [Just $0.10!] (LCK),2020-08-23,20,1189,0.1,100.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531901140,draftkings,LOL,38757,90265778,LOL $1K First Blood (LPL-LEC-LCS),2020-08-23,20,1189,1.0,1000.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531901146,draftkings,LOL,38757,90265784,LOL $250 Quarter Jukebox [Just $0.25!] (LPL-LEC-LCS),2020-08-23,20,1189,0.25,250.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531901148,draftkings,LOL,38757,90265783,LOL $100 Dime Time [Just $0.10!] (LPL-LEC-LCS),2020-08-23,20,1189,0.1,100.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531913816,draftkings,LOL,38758,90266148,LOL $10K Titan's Fury [$2K to 1st] (LEC-LCS),2020-08-23,35,1176,10.0,10000.0,,,,,1598194800,,,2020-08-23 11:00:00,(LEC/LCS),2,0,,0
531479324,fanduel,LOL,48714,48714-236634258,$5K Sun LOL Nexus ($1K to 1st),2020-08-23,32,1072,5.55,5000.0,,,,,1598169600,,,2020-08-23 04:00:00,LCK Main,2,0,,0
531913828,draftkings,LOL,38758,90266139,LOL $150 Quarter Jukebox [Just $0.25!] (LEC-LCS),2020-08-23,20,713,0.25,150.0,,,,,1598194800,,,2020-08-23 11:00:00,(LEC/LCS),2,0,,0
531913830,draftkings,LOL,38758,90266145,LOL $50 Dime Time [Just $0.10!] (LEC-LCS),2020-08-23,17,594,0.1,50.0,,,,,1598194800,,,2020-08-23 11:00:00,(LEC/LCS),2,0,,0
531479320,fanduel,LOL,48714,48714-236634218,$100 Sun LOL Turret ($0.25 to Enter),2020-08-23,14,479,0.25,100.0,,,,,1598169600,,,2020-08-23 04:00:00,LCK Main,2,0,,0
531913827,draftkings,LOL,38758,90266138,LOL $400 First Blood (LEC-LCS),2020-08-23,14,475,1.0,400.0,,,,,1598194800,,,2020-08-23 11:00:00,(LEC/LCS),2,0,,0
531901116,draftkings,LOL,38572,90265160,LOL $1.5K Elder Dragon (LCK),2020-08-23,13,445,4.0,1500.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531901135,draftkings,LOL,38757,90265780,LOL $1.5K Elder Dragon (LPL-LEC-LCS),2020-08-23,13,445,4.0,1500.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531479643,fanduel_single,LOL,48651,48651-236649411,$1K LOL Nexus,2020-08-23,11,396,3.0,1000.0,,,,,1598173200,,,2020-08-23 05:00:00,LGD @ JDG,1,0,,0
532013909,fanduel,LOL,48774,48774-236669039,$1K LOL Nexus,2020-08-23,11,396,3.0,1000.0,,,,,1598194800,,,2020-08-23 11:00:00,LEC LCS Playoffs,2,0,,0
531913819,draftkings,LOL,38758,90266136,LOL $750 Critical Strike (LEC-LCS),2020-08-23,8,297,3.0,750.0,,,,,1598194800,,,2020-08-23 11:00:00,(LEC/LCS),2,0,,0
531901137,draftkings,LOL,38757,90265785,LOL $600 Trident Slash [3 Entry Max] (LPL-LEC-LCS),2020-08-23,3,237,3.0,600.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531901121,draftkings,LOL,38572,90265172,LOL $500 Trident Slash [3 Entry Max] (LCK),2020-08-23,3,198,3.0,500.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531901120,draftkings,LOL,38572,90265175,LOL $600 Solo Fight [Single Entry] (LCK),2020-08-23,1,142,5.0,600.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531901138,draftkings,LOL,38757,90265792,LOL $600 Solo Fight [Single Entry] (LPL-LEC-LCS),2020-08-23,1,142,5.0,600.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531479322,fanduel,LOL,48714,48714-236634227,$100 Sun LOL Tower Dive,2020-08-23,1,119,1.0,100.0,,,,,1598169600,,,2020-08-23 04:00:00,LCK Main,2,0,,0
531479642,fanduel_single,LOL,48651,48651-236649412,$100 LOL Tower Dive,2020-08-23,1,119,1.0,100.0,,,,,1598173200,,,2020-08-23 05:00:00,LGD @ JDG,1,0,,0
532013912,fanduel,LOL,48774,48774-236669040,$100 LOL Tower Dive,2020-08-23,1,119,1.0,100.0,,,,,1598194800,,,2020-08-23 11:00:00,LEC LCS Playoffs,2,0,,0
531901147,draftkings,LOL,38757,90265779,LOL $100 Daily Dollar [Single Entry] (LPL-LEC-LCS),2020-08-23,1,118,1.0,100.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531913820,draftkings,LOL,38758,90266147,LOL $500 Solo Fight [Single Entry] (LEC-LCS),2020-08-23,1,118,5.0,500.0,,,,,1598194800,,,2020-08-23 11:00:00,(LEC/LCS),2,0,,0
531901123,draftkings,LOL,38572,90265169, LOL Single Entry $5 Double Up (LCK),2020-08-23,1,114,5.0,500.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531901130,draftkings,LOL,38572,90265159,LOL $75 Daily Dollar [Single Entry] (LCK),2020-08-23,1,89,1.0,75.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531913829,draftkings,LOL,38758,90266140,LOL $75 Daily Dollar [Single Entry] (LEC-LCS),2020-08-23,1,89,1.0,75.0,,,,,1598194800,,,2020-08-23 11:00:00,(LEC/LCS),2,0,,0
531901141,draftkings,LOL,38757,90265786,LOL Single Entry $5 Double Up (LPL-LEC-LCS),2020-08-23,1,68,5.0,300.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531901132,draftkings,LOL,38757,90265788,LOL $10.9K Comeback [$3K to 1st] (LPL-LEC-LCS),2020-08-23,2,67,180.0,10900.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531479365,fanduel,LOL,48714,48714-236649513,$250 LOL Double Up ($5),2020-08-23,1,56,5.0,250.0,,,,,1598169600,,,2020-08-23 04:00:00,LCK Main,2,0,,0
531479367,fanduel,LOL,48714,48714-236649511,$100 LOL Double Up ($2),2020-08-23,1,56,2.0,100.0,,,,,1598169600,,,2020-08-23 04:00:00,LCK Main,2,0,,0
531536561,fanduel,LOL,48714,48714-236649512,$100 LOL Double Up ($2),2020-08-23,1,56,2.0,100.0,,,,,1598169600,,,2020-08-23 04:00:00,LCK Main,2,0,,0
531479332,fanduel,LOL,48714,48714-236649500,50/50 Contest ($25 - Top 50% Win),2020-08-23,1,50,25.0,1125.0,,,,,1598169600,,,2020-08-23 04:00:00,LCK Main,2,0,,0
531479334,fanduel,LOL,48714,48714-236649488,50/50 Contest ($1 - Top 50% Win),2020-08-23,1,50,1.0,45.0,,,,,1598169600,,,2020-08-23 04:00:00,LCK Main,2,0,,0
531479626,fanduel_single,LOL,48651,48651-236649400,50/50 Contest ($25 - Top 50% Win),2020-08-23,1,50,25.0,1125.0,,,,,1598173200,,,2020-08-23 05:00:00,LGD @ JDG,1,0,,0
531479627,fanduel_single,LOL,48651,48651-236649388,50/50 Contest ($1 - Top 50% Win),2020-08-23,1,50,1.0,45.0,,,,,1598173200,,,2020-08-23 05:00:00,LGD @ JDG,1,0,,0
532013904,fanduel,LOL,48774,48774-236669027,50/50 Contest ($25 - Top 50% Win),2020-08-23,1,50,25.0,1125.0,,,,,1598194800,,,2020-08-23 11:00:00,LEC LCS Playoffs,2,0,,0
532013906,fanduel,LOL,48774,48774-236669015,50/50 Contest ($1 - Top 50% Win),2020-08-23,1,50,1.0,45.0,,,,,1598194800,,,2020-08-23 11:00:00,LEC LCS Playoffs,2,0,,0
531901124,draftkings,LOL,38572,90265168,LOL Single Entry $25 Double Up (LCK),2020-08-23,1,45,25.0,1000.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531901145,draftkings,LOL,38757,90265793,LOL $400 Solo Kill [Single Entry] (LPL-LEC-LCS),2020-08-23,1,39,12.0,400.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531479318,fanduel,LOL,48714,48714-236634239,$150 Sun LOL Pentakill (Single Entry),2020-08-23,1,36,5.0,150.0,,,,,1598169600,,,2020-08-23 04:00:00,LCK Main,2,0,,0
531901122,draftkings,LOL,38572,90265162,LOL $1K Last Hit (LCK),2020-08-23,1,35,33.0,1000.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531901142,draftkings,LOL,38757,90265790,LOL Single Entry $25 Double Up (LPL-LEC-LCS),2020-08-23,1,34,25.0,750.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531901114,draftkings,LOL,38572,90265176,LOL $5.2K Comeback [$2K to 1st] (LCK),2020-08-23,1,32,180.0,5200.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531913825,draftkings,LOL,38758,90266149,LOL $250 Solo Kill [Single Entry] (LEC-LCS),2020-08-23,1,24,12.0,250.0,,,,,1598194800,,,2020-08-23 11:00:00,(LEC/LCS),2,0,,0
531913679,draftkings,LOL,38572,90266376,LOL $5 Double Up (LCK),2020-08-23,1,23,5.0,100.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531913680,draftkings,LOL,38572,90266378,LOL $3 Double Up (LCK),2020-08-23,1,23,3.0,60.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531913681,draftkings,LOL,38572,90266377,LOL $3 Double Up (LCK),2020-08-23,1,23,3.0,60.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531913682,draftkings,LOL,38572,90266370,LOL $1 Double Up (LCK),2020-08-23,1,23,1.0,20.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531913683,draftkings,LOL,38572,90266369,LOL $1 Double Up (LCK),2020-08-23,1,23,1.0,20.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531913684,draftkings,LOL,38572,90266368,LOL $1 Double Up (LCK),2020-08-23,1,23,1.0,20.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531913685,draftkings,LOL,38572,90266367,LOL $1 Double Up (LCK),2020-08-23,1,23,1.0,20.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531913686,draftkings,LOL,38572,90266366,LOL $1 Double Up (LCK),2020-08-23,1,23,1.0,20.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531913760,draftkings,LOL,38757,90266391,LOL $5 Double Up (LPL-LEC-LCS),2020-08-23,1,23,5.0,100.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531913761,draftkings,LOL,38757,90266393,LOL $3 Double Up (LPL-LEC-LCS),2020-08-23,1,23,3.0,60.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531913762,draftkings,LOL,38757,90266392,LOL $3 Double Up (LPL-LEC-LCS),2020-08-23,1,23,3.0,60.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531913763,draftkings,LOL,38757,90266385,LOL $1 Double Up (LPL-LEC-LCS),2020-08-23,1,23,1.0,20.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531913764,draftkings,LOL,38757,90266384,LOL $1 Double Up (LPL-LEC-LCS),2020-08-23,1,23,1.0,20.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531913765,draftkings,LOL,38757,90266383,LOL $1 Double Up (LPL-LEC-LCS),2020-08-23,1,23,1.0,20.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531913766,draftkings,LOL,38757,90266382,LOL $1 Double Up (LPL-LEC-LCS),2020-08-23,1,23,1.0,20.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531913767,draftkings,LOL,38757,90266381,LOL $1 Double Up (LPL-LEC-LCS),2020-08-23,1,23,1.0,20.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531913835,draftkings,LOL,38758,90266442,LOL $5 Double Up (LEC-LCS),2020-08-23,1,23,5.0,100.0,,,,,1598194800,,,2020-08-23 11:00:00,(LEC/LCS),2,0,,0
531913836,draftkings,LOL,38758,90266443,LOL $3 Double Up (LEC-LCS),2020-08-23,1,23,3.0,60.0,,,,,1598194800,,,2020-08-23 11:00:00,(LEC/LCS),2,0,,0
531913837,draftkings,LOL,38758,90266437,LOL $1 Double Up (LEC-LCS),2020-08-23,1,23,1.0,20.0,,,,,1598194800,,,2020-08-23 11:00:00,(LEC/LCS),2,0,,0
531913838,draftkings,LOL,38758,90266436,LOL $1 Double Up (LEC-LCS),2020-08-23,1,23,1.0,20.0,,,,,1598194800,,,2020-08-23 11:00:00,(LEC/LCS),2,0,,0
531913839,draftkings,LOL,38758,90266435,LOL $1 Double Up (LEC-LCS),2020-08-23,1,23,1.0,20.0,,,,,1598194800,,,2020-08-23 11:00:00,(LEC/LCS),2,0,,0
531901125,draftkings,LOL,38572,90265165,LOL Single Entry $25 Double Up (LCK),2020-08-23,1,22,25.0,500.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531901139,draftkings,LOL,38757,90265777,LOL $1K Counter Gank [Single Entry] (LPL-LEC-LCS),2020-08-23,1,22,50.0,1000.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531913705,draftkings,LOL,38572,90266219,LOL $50 Double Up (LCK),2020-08-23,1,22,50.0,1000.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531913707,draftkings,LOL,38572,90266217,LOL $25 Double Up (LCK),2020-08-23,1,22,25.0,500.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531913786,draftkings,LOL,38757,90266273,LOL $50 Double Up (LPL-LEC-LCS),2020-08-23,1,22,50.0,1000.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531913788,draftkings,LOL,38757,90266271,LOL $25 Double Up (LPL-LEC-LCS),2020-08-23,1,22,25.0,500.0,,,,,1598173200,,,2020-08-23 05:00:00,(LPL/LEC/LCS),3,0,,0
531913858,draftkings,LOL,38758,90266326,LOL $50 Double Up (LEC-LCS),2020-08-23,1,22,50.0,1000.0,,,,,1598194800,,,2020-08-23 11:00:00,(LEC/LCS),2,0,,0
531913860,draftkings,LOL,38758,90266324,LOL $25 Double Up (LEC-LCS),2020-08-23,1,22,25.0,500.0,,,,,1598194800,,,2020-08-23 11:00:00,(LEC/LCS),2,0,,0
532172725,draftkings,LOL,38572,90310111,LOL $50 Double Up (LCK),2020-08-23,1,22,50.0,1000.0,,,,,1598169600,,,2020-08-23 04:00:00,(LCK),2,0,,0
531479330,fanduel,LOL,48714,48714-236649489,50/50 Contest ($2 - Top 50% Win),2020-08-23,1,20,2.0,36.0,,,,,1598169600,,,2020-08-23 04:00:00,LCK Main,2,0,,0
531479337,fanduel,LOL,48714,48714-236649499,50/50 Contest ($25 - Top 50% Win),2020-08-23,1,20,25.0,450.0,,,,,1598169600,,,2020-08-23 04:00:00,LCK Main,2,0,,0
531479341,fanduel,LOL,48714,48714-236649497,50/50 Contest ($10 - Top 50% Win),2020-08-23,1,20,10.0,180.0,,,,,1598169600,,,2020-08-23 04:00:00,LCK Main,2,0,,0
531479343,fanduel,LOL,48714,48714-236649484,50/50 Contest ($1 - Top 50% Win),2020-08-23,1,20,1.0,18.0,,,,,1598169600,,,2020-08-23 04:00:00,LCK Main,2,0,,0
531479345,fanduel,LOL,48714,48714-236649493,50/50 Contest ($5 - Top 50% Win),2020-08-23,1,20,5.0,90.0,,,,,1598169600,,,2020-08-23 04:00:00,LCK Main,2,0,,0
