"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"47136-120237","ADC","Bang","Bang","Bang","31.389474969161185","19","10200","EG@IM","EG","IM","","","","",""
"47136-120269","ADC","Tactical","Tactical","Tactical","19.872499465942383","16","9800","TL@FQ","TL","FQ","","","","",""
"47136-120243","ADC","Apollo","Apollo","Apollo","19.838570731026785","14","9500","EG@IM","IM","EG","","","","",""
"47136-120274","MID","Goldenglue","Goldenglue","Goldenglue","18.659999302455358","7","9000","EG@IM","EG","IM","","","","",""
"47136-120235","JNG","Svenskeren","Svenskeren","Svenskeren","24.788421630859375","19","8800","EG@IM","EG","IM","","","","",""
"47136-120232","ADC","WildTurtle","WildTurtle","WildTurtle","40.06266682942708","15","8700","TL@FQ","FQ","TL","","","","",""
"47136-120268","MID","Jensen","Jensen","Jensen","24.877500534057617","16","8600","TL@FQ","TL","FQ","","","","",""
"47136-120236","MID","Jiizuke","Jiizuke","Jiizuke","29.81052760074013","19","8600","EG@IM","EG","IM","","","","",""
"47136-133764","ADC","MasH","MasH","MasH","17.684999465942383","8","8500","TL@FQ","FQ","TL","","","","",""
"47136-120266","JNG","Broxah","Broxah","Broxah","20.811250686645508","16","8300","TL@FQ","TL","FQ","","","","",""
"47136-134669","MID","Insanity","Insanity","Insanity","23.93999989827474","6","8200","EG@IM","IM","EG","","","","",""
"47136-120278","TOP","Huni","Huni","Huni","14.227999877929687","10","8100","EG@IM","EG","IM","","","","",""
"47136-120231","MID","PowerOfEvil","PowerOfEvil","PowerOfEvil","42.85727206143466","22","7900","TL@FQ","FQ","TL","","","","",""
"47136-120234","TOP","Kumo","Kumo","Kumo","22.4894730417352","19","7900","EG@IM","EG","IM","","","","",""
"47136-120238","SUP","Zeyzal","Zeyzal","Zeyzal","21.34842079564145","19","7900","EG@IM","EG","IM","","","","",""
"47136-120240","JNG","Xmithie","Xmithie","Xmithie","14.62857164655413","14","7900","EG@IM","IM","EG","","","","",""
"47136-120265","TOP","Impact","Impact","Impact","19.5049991607666","16","7800","TL@FQ","TL","FQ","","","","",""
"47136-120703","TEAM","Evil Geniuses","Evil Geniuses","Evil Geniuses","19.789473684210527","19","7800","EG@IM","EG","IM","","","","",""
"47136-120706","TEAM","Team Liquid","Team Liquid","Team Liquid","19","16","7600","TL@FQ","TL","FQ","","","","",""
"47136-120230","JNG","Santorin","Santorin","Santorin","37.91272804953835","22","7600","TL@FQ","FQ","TL","","","","",""
"47136-134668","TOP","Allorim","Allorim","Allorim","18.669999440511067","6","7500","EG@IM","IM","EG","","","","",""
"47136-120270","SUP","CoreJJ","CoreJJ","CoreJJ","17.883750915527344","16","7500","TL@FQ","TL","FQ","","","","",""
"47136-120704","TEAM","Immortals","Immortals","Immortals","12.823529411764707","17","7400","EG@IM","IM","EG","","","","",""
"47136-120244","SUP","Hakuho","Hakuho","Hakuho","11.852857317243304","14","7200","EG@IM","IM","EG","","","","",""
"47136-120702","TEAM","FlyQuest","FlyQuest","FlyQuest","25.227272727272727","22","7200","TL@FQ","FQ","TL","","","","",""
"47136-121301","TOP","Solo","Solo","Solo","31.41400146484375","20","7000","TL@FQ","FQ","TL","","","","",""
"47136-120233","SUP","IgNar","IgNar","IgNar","26.952728271484375","22","6900","TL@FQ","FQ","TL","","","","",""
"47136-130700","TOP","TF Blade","TF Blade","TF Blade","0","4","6200","TL@FQ","TL","FQ","","","","",""
"47136-133460","JNG","Potluck","Potluck","Potluck","3.130000114440918","6","6200","EG@IM","IM","EG","","","","",""
"47136-133461","SUP","Gate","Gate","Gate","1.1333333651224773","6","6200","EG@IM","IM","EG","","","","",""
"47136-120239","TOP","sOAZ","sOAZ","sOAZ","8.126666386922201","12","6200","EG@IM","IM","EG","","","","",""
"47136-120241","MID","Eika","Eika","Eika","12.566666920979818","12","6200","EG@IM","IM","EG","","","","",""
"47136-120242","ADC","Altec","Altec","Altec","2.0549999872843423","12","6200","EG@IM","IM","EG","","","","",""
