"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"47987-120305","ADC","Perkz","Perkz","Perkz","43.9278272545856","23","10300","G2@ES","G2","ES","","","","",""
"47987-120359","ADC","Carzzy","Carzzy","Carzzy","36.68333435058594","24","10100","ML@FCS","ML","FCS","","","","",""
"47987-120318","ADC","Rekkles","Rekkles","Rekkles","35.18500010172526","24","9800","FTC@SKG","FTC","SKG","","","","",""
"47987-120323","ADC","Hans sama","Hans sama","Hans sama","29.32608695652174","23","9500","OG@ROG","ROG","OG","","","","",""
"47987-120306","MID","Caps","Caps","Caps","49.6135986328125","25","9400","G2@ES","G2","ES","","","","",""
"47987-120227","ADC","Kobbe","Kobbe","Kobbe","29.289564049762227","23","9300","MG@VIT","MG","VIT","","","","",""
"47987-120304","JNG","Jankos","Jankos","Jankos","39.7560009765625","25","9200","G2@ES","G2","ES","","","","",""
"47987-125946","ADC","Neon","Neon","Neon","32.18800048828125","15","9200","ML@FCS","FCS","ML","","","","",""
"47987-120358","MID","Humanoid","Humanoid","Humanoid","35.221666971842446","24","9100","ML@FCS","ML","FCS","","","","",""
"47987-120332","JNG","Shadow","Shadow","Shadow","34.46666717529297","24","9000","ML@FCS","ML","FCS","","","","",""
"47987-120436","ADC","Comp","Comp","Comp","24.577142624627974","21","8900","MG@VIT","VIT","MG","","","","",""
"47987-120317","MID","Nemesis","Nemesis","Nemesis","27.8191655476888","24","8800","FTC@SKG","FTC","SKG","","","","",""
"47987-120316","JNG","Selfmade","Selfmade","Selfmade","30.672500610351562","24","8800","FTC@SKG","FTC","SKG","","","","",""
"47987-120381","ADC","Crownshot","Crownshot","Crownshot","24.228570847284224","21","8600","FTC@SKG","SKG","FTC","","","","",""
"47987-120322","MID","Larssen","Larssen","Larssen","29.54086967136549","23","8500","OG@ROG","ROG","OG","","","","",""
"47987-120303","TOP","Wunder","Wunder","Wunder","35.169599609375","25","8500","G2@ES","G2","ES","","","","",""
"47987-120321","JNG","Inspired","Inspired","Inspired","25.171304453974184","23","8400","OG@ROG","ROG","OG","","","","",""
"47987-120327","MID","FEBIVEN","FEBIVEN","FEBIVEN","20.325454711914062","22","8300","MG@VIT","MG","VIT","","","","",""
"47987-120331","TOP","Orome","Orome","Orome","28.207499186197918","24","8300","ML@FCS","ML","FCS","","","","",""
"47987-120366","ADC","Patrik","Patrik","Patrik","20.083809988839285","21","8200","G2@ES","ES","G2","","","","",""
"47987-120326","JNG","Razork","Razork","Razork","17.498181429776277","22","8100","MG@VIT","MG","VIT","","","","",""
"47987-120373","MID","Abbedagge","Abbedagge","Abbedagge","23.66857183547247","21","8100","ML@FCS","FCS","ML","","","","",""
"47987-120308","SUP","Mikyx","Mikyx","Mikyx","32.7247998046875","25","8100","G2@ES","G2","ES","","","","",""
"47987-120710","TEAM","G2 eSports","G2 eSports","G2 eSports","24.8","25","8000","G2@ES","G2","ES","","","","",""
"47987-120371","JNG","Gilius","Gilius","Gilius","21.212499618530273","16","8000","ML@FCS","FCS","ML","","","","",""
"47987-120435","MID","Milica","Milica","Milica","18.163809640066965","21","8000","MG@VIT","VIT","MG","","","","",""
"47987-120312","ADC","Upset","Upset","Upset","36.50166575113932","24","8000","OG@ROG","OG","ROG","","","","",""
"47987-120314","TOP","Bwipo","Bwipo","Bwipo","26.439165751139324","24","8000","FTC@SKG","FTC","SKG","","","","",""
"47987-120320","TOP","Finn","Finn","Finn","21.996522322944973","23","7800","OG@ROG","ROG","OG","","","","",""
"47987-131333","MID","ZaZee","ZaZee","ZaZee","25.263530058019303","17","7800","FTC@SKG","SKG","FTC","","","","",""
