"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"47349-125114","ADC","JackeyLove","JackeyLove","JackeyLove","97.4694759971217","19","10300","TES@SN","TES","SN","","","","",""
"47349-131343","ADC","SamD","SamD","SamD","77.35500081380208","12","9900","V5@WE","V5","WE","","","","",""
"47349-122796","ADC","Mystic","Mystic","Mystic","58.43866780598958","15","9800","AF@HLE","AF","HLE","","","","",""
"47349-122858","ADC","Ghost","Ghost","Ghost","68.97882439108456","17","9600","DRX@DWG","DWG","DRX","","","","",""
"47349-122760","ADC","Deft","Deft","Deft","75.74222140842014","18","9500","DRX@DWG","DRX","DWG","","","","",""
"47349-122967","MID","knight","knight","knight","103.7616678873698","24","9200","TES@SN","TES","SN","","","","",""
"47349-122993","ADC","Jiumeng","Jiumeng","Jiumeng","83.2280029296875","20","9200","V5@WE","WE","V5","","","","",""
"47349-123015","ADC","y4","y4","y4","13.308571951729911","14","9000","V5@WE","V5","WE","","","","",""
"47349-123013","MID","Mole","Mole","Mole","54.13764863855698","17","8900","V5@WE","V5","WE","","","","",""
"47349-122959","ADC","Viper","Viper","GRF","51.17529296875","17","8900","AF@HLE","HLE","AF","","","","",""
"47349-122800","MID","Fly","Fly","AF","43.811427525111604","14","8800","AF@HLE","AF","HLE","","","","",""
"47349-123079","ADC","Vsta","Vsta","Vsta","29.950000762939453","8","8800","AF@HLE","HLE","AF","","","","",""
"47349-123042","ADC","huanfeng","huanfeng","huanfeng","72.31777615017361","18","8700","TES@SN","SN","TES","","","","",""
"47349-122856","MID","ShowMaker","ShowMaker","ShowMaker","78.67647058823529","17","8700","DRX@DWG","DWG","DRX","","","","",""
"47349-122758","MID","Chovy","Chovy","Chovy","76.04666476779514","18","8600","DRX@DWG","DRX","DWG","","","","",""
"47349-122964","TOP","369","369","369","77.94833374023438","24","8600","TES@SN","TES","SN","","","","",""
"47349-122966","JNG","Karsa","Karsa","Karsa","76.7616678873698","24","8600","TES@SN","TES","SN","","","","",""
"47349-122801","ADC","SS","SS","AF","0","8","8500","AF@HLE","AF","HLE","","","","",""
"47349-122857","ADC","Nuclear","Nuclear","Nuclear","2.857142857142857","7","8500","DRX@DWG","DWG","DRX","","","","",""
"47349-123037","TOP","Biubiu","Biubiu","Biubiu","47.009334309895834","15","8400","V5@WE","V5","WE","","","","",""
"47349-122793","JNG","Spirit","Spirit","Spirit","46.15333251953125","15","8400","AF@HLE","AF","HLE","","","","",""
"47349-123041","JNG","Weiwei","Weiwei","Weiwei","56.86666666666667","15","8300","V5@WE","V5","WE","","","","",""
