"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"48221-122760","ADC","Deft","Deft","Deft","72.74190266927083","21","10200","HLE@DRX","DRX","HLE","","","","",""
"48221-122788","ADC","Aiming","Aiming","Aiming","63.2469970703125","20","9700","SHO@KT","KT","SHO","","","","",""
"48221-122758","MID","Chovy","Chovy","Chovy","72.57142857142857","21","9300","HLE@DRX","DRX","HLE","","","","",""
"48221-122943","ADC","HyBriD","HyBriD","HyBriD","40.95799865722656","20","9300","SHO@KT","SHO","KT","","","","",""
"48221-122942","ADC","Trigger","Trigger","Trigger","5.111999893188477","10","9000","SHO@KT","SHO","KT","","","","",""
"48221-122757","JNG","Pyosik","Pyosik","Pyosik","69.14285714285714","21","8800","HLE@DRX","DRX","HLE","","","","",""
"48221-122959","ADC","Viper","Viper","GRF","48.229000854492185","20","8800","HLE@DRX","HLE","DRX","","","","",""
"48221-122787","MID","Kuro","Kuro","Kuro","47.274116067325366","17","8800","SHO@KT","KT","SHO","","","","",""
"48221-122756","TOP","Doran","Doran","Doran","63.070475260416664","21","8700","HLE@DRX","DRX","HLE","","","","",""
"48221-122958","MID","Ucal","Ucal","Ucal","45.35428728376116","14","8700","SHO@KT","KT","SHO","","","","",""
"48221-123079","ADC","Vsta","Vsta","Vsta","26.622222900390625","9","8600","HLE@DRX","HLE","DRX","","","","",""
"48221-122786","JNG","BonO","BonO","BonO","44.62631707442434","19","8400","SHO@KT","KT","SHO","","","","",""
"48221-122784","TOP","SoHwan","SoHwan","SoHwan","38.59000015258789","16","8300","SHO@KT","KT","SHO","","","","",""
"48221-120365","MID","Mickey","Mickey","Mickey","26.439999229029606","19","8300","SHO@KT","SHO","KT","","","","",""
"48221-131677","TOP","Smeb","Smeb","Smeb","37.20166778564453","12","8200","SHO@KT","KT","SHO","","","","",""
"48221-122761","SUP","Keria","Keria","Keria","56.974283854166664","21","8100","HLE@DRX","DRX","HLE","","","","",""
"48221-122762","TEAM","DragonX","DragonX","DragonX","49.19047619047619","21","8100","HLE@DRX","DRX","HLE","","","","",""
"48221-122861","TOP","CuVee","CuVee","CuVee","31.5","11","8000","HLE@DRX","HLE","DRX","","","","",""
"48221-131336","MID","Mireu","Mireu","Mireu","27.651111178927952","9","7900","HLE@DRX","HLE","DRX","","","","",""
"48221-122862","JNG","Haru","Haru","Haru","31.727691650390625","13","7900","HLE@DRX","HLE","DRX","","","","",""
"48221-122936","TOP","ikssu","ikssu","ikssu","31.304998779296874","20","7900","SHO@KT","SHO","KT","","","","",""
"48221-130697","TOP","DuDu","DuDu","DuDu","23.361539400540867","13","7800","HLE@DRX","HLE","DRX","","","","",""
"48221-122864","MID","Lava","Lava","Lava","20.921539306640625","13","7800","HLE@DRX","HLE","DRX","","","","",""
"48221-122790","TEAM","kt Rolster","kt Rolster","kt Rolster","37.5","20","7700","SHO@KT","KT","SHO","","","","",""
"48221-122939","JNG","Flawless","Flawless","Flawless","29.336666531032986","18","7700","SHO@KT","SHO","KT","","","","",""
"48221-131334","JNG","CaD","CaD","CaD","17.777999877929688","10","7600","HLE@DRX","HLE","DRX","","","","",""
"48221-122789","SUP","TusiN","TusiN","TusiN","39.34666612413194","18","7600","SHO@KT","KT","SHO","","","","",""
"48221-122759","MID","Quad","Quad","Quad","1.4285714285714286","14","7500","HLE@DRX","DRX","HLE","","","","",""
"48221-122938","JNG","Kuma","Kuma","Kuma","10.0363637750799","11","7500","SHO@KT","SHO","KT","","","","",""
"48221-122941","MID","Keine","Keine","Keine","1.586666636996799","9","7500","SHO@KT","SHO","KT","","","","",""
"48221-122944","SUP","Secret","Secret","Secret","21.742999267578124","20","7200","SHO@KT","SHO","KT","","","","",""
"48221-122785","JNG","Malrang","Malrang","Malrang","13.897500038146973","8","7200","SHO@KT","KT","SHO","","","","",""
"48221-135091","TEAM","SeolHaeOne Prince","SeolHaeOne Prince","SeolHaeOne Prince","14.4","10","7200","SHO@KT","SHO","KT","","","","",""
"48221-131335","JNG","YeongJae","YeongJae","YeongJae","11.672000122070312","5","7000","HLE@DRX","HLE","DRX","","","","",""
"48221-122783","TOP","Ray","Ray","Ray","0.5714285714285714","7","7000","SHO@KT","KT","SHO","","","","",""
"48221-122866","SUP","Lehends","Lehends","Lehends","28.6473677785773","19","7000","HLE@DRX","HLE","DRX","","","","",""
"48221-122937","TOP","Alphamong","Alphamong","Alphamong","0","9","7000","SHO@KT","SHO","KT","","","","",""
"48221-122867","TEAM","Hanwha Life Esports","Hanwha Life Esports","Hanwha Life Esports","23.210526315789473","19","6900","HLE@DRX","HLE","DRX","","","","",""
"48221-122945","SUP","Mia","Mia","Mia","2.1059999465942383","10","6500","SHO@KT","SHO","KT","","","","",""
