"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"48471-122858","ADC","Ghost","Ghost","Ghost","70.0627274946733","22","10300","T1@DWG","DWG","T1","","","","",""
"48471-122714","ADC","Teddy","Teddy","Teddy","81.04173743206522","23","9900","T1@DWG","T1","DWG","","","","",""
"48471-122856","MID","ShowMaker","ShowMaker","ShowMaker","80.94272682883523","22","9300","T1@DWG","DWG","T1","","","","",""
"48471-122796","ADC","Mystic","Mystic","Mystic","60.0239990234375","20","9300","AF@KT","AF","KT","","","","",""
"48471-137274","MID","Clozer","Clozer","Clozer","71.88999938964844","4","9000","T1@DWG","T1","DWG","","","","",""
"48471-122788","ADC","Aiming","Aiming","Aiming","66.48190452938988","21","8800","AF@KT","KT","AF","","","","",""
"48471-122855","JNG","Canyon","Canyon","Canyon","67.7281827059659","22","8800","T1@DWG","DWG","T1","","","","",""
"48471-122800","MID","Fly","Fly","AF","49.38210577713816","19","8600","AF@KT","AF","KT","","","","",""
"48471-122710","JNG","Cuzz","Cuzz","Cuzz","58.597144717261905","21","8400","T1@DWG","T1","DWG","","","","",""
"48471-122853","TOP","Nuguri","Nuguri","Nuguri","69.6872725053267","22","8200","T1@DWG","DWG","T1","","","","",""
"48471-122958","MID","Ucal","Ucal","Ucal","48.315999348958336","15","8000","AF@KT","KT","AF","","","","",""
"48471-122709","TOP","Canna","Canna","Canna","69.40956712805706","23","7900","T1@DWG","T1","DWG","","","","",""
"48471-122859","SUP","BeryL","BeryL","BeryL","58.67181951349432","22","7900","T1@DWG","DWG","T1","","","","",""
"48471-122793","JNG","Spirit","Spirit","Spirit","49.617001342773435","20","7800","AF@KT","AF","KT","","","","",""
"48471-122860","TEAM","DAMWON Gaming","DAMWON Gaming","DAMWON Gaming","50.90909090909091","22","7800","T1@DWG","DWG","T1","","","","",""
"48471-122787","MID","Kuro","Kuro","Kuro","47.274116067325366","17","7700","AF@KT","KT","AF","","","","",""
"48471-122716","SUP","Effort","Effort","Effort","51.65652067764945","23","7600","T1@DWG","T1","DWG","","","","",""
"48471-122799","TEAM","Afreeca Freecs","Afreeca Freecs","Afreeca Freecs","34.6","20","7600","AF@KT","AF","KT","","","","",""
"48471-122786","JNG","BonO","BonO","BonO","45.19200134277344","20","7500","AF@KT","KT","AF","","","","",""
"48471-122791","TOP","Kiin","Kiin","Kiin","51.930999755859375","20","7500","AF@KT","AF","KT","","","","",""
"48471-122718","TEAM","T1","T1","T1","49.34782608695652","23","7400","T1@DWG","T1","DWG","","","","",""
"48471-122797","SUP","Ben","Ben","Ben","32.82736687911184","19","7200","AF@KT","AF","KT","","","","",""
"48471-131677","TOP","Smeb","Smeb","Smeb","42.30000187800481","13","7100","AF@KT","KT","AF","","","","",""
"48471-122790","TEAM","kt Rolster","kt Rolster","kt Rolster","38.476190476190474","21","7100","AF@KT","KT","AF","","","","",""
"48471-122789","SUP","TusiN","TusiN","TusiN","41.57578960217928","19","6900","AF@KT","KT","AF","","","","",""
"48471-122784","TOP","SoHwan","SoHwan","SoHwan","38.59000015258789","16","6700","AF@KT","KT","AF","","","","",""
"48471-123078","SUP","Hoit","Hoit","Hoit","0","9","6200","T1@DWG","DWG","T1","","","","",""
"48471-122708","TOP","Roach","Roach","Roach","0","9","6200","T1@DWG","T1","DWG","","","","",""
"48471-122711","JNG","Ellim","Ellim","Ellim","19.761818625710227","11","6200","T1@DWG","T1","DWG","","","","",""
"48471-122712","MID","Faker","Faker","Faker","65.44842208059211","19","6200","T1@DWG","T1","DWG","","","","",""
"48471-122715","ADC","Gumayusi","Gumayusi","Gumayusi","0","9","6200","T1@DWG","T1","DWG","","","","",""
"48471-122717","SUP","Kuri","Kuri","Kuri","1.1960000038146972","10","6200","T1@DWG","T1","DWG","","","","",""
"48471-122783","TOP","Ray","Ray","Ray","0.5714285714285714","7","6200","AF@KT","KT","AF","","","","",""
"48471-122785","JNG","Malrang","Malrang","Malrang","18.10666741265191","9","6200","AF@KT","KT","AF","","","","",""
"48471-122854","TOP","Flame","Flame","Flame","2.2222222222222223","9","6200","T1@DWG","DWG","T1","","","","",""
"48471-122857","ADC","Nuclear","Nuclear","Nuclear","2.2222222222222223","9","6200","T1@DWG","DWG","T1","","","","",""
"48471-122792","TOP","Hoon","Hoon","Hoon","0","11","6200","AF@KT","AF","KT","","","","",""
"48471-122795","MID","ALL IN","ALL IN","ALL IN","16.648333231608074","12","6200","AF@KT","AF","KT","","","","",""
"48471-122794","JNG","Dread","Dread","Dread","1.6145454753528943","11","6200","AF@KT","AF","KT","","","","",""
"48471-122798","SUP","Jelly","Jelly","Jelly","10.192307692307692","13","6200","AF@KT","AF","KT","","","","",""
"48471-122801","ADC","SS","SS","AF","0","11","6200","AF@KT","AF","KT","","","","",""
