"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"48100-122704","ADC","Ruler","Ruler","Ruler","74.98363702947444","22","10200","GEN@SB","GEN","SB","","","","",""
"48100-122714","ADC","Teddy","Teddy","Teddy","79.88454367897727","22","9900","T1@AF","T1","AF","","","","",""
"48100-122796","ADC","Mystic","Mystic","Mystic","61.43444146050347","18","9300","T1@AF","AF","T1","","","","",""
"48100-122703","MID","Bdd","Bdd","Bdd","71.25818425958806","22","9100","GEN@SB","GEN","SB","","","","",""
"48100-122909","ADC","Route","Route","Route","52.427618117559526","21","8900","GEN@SB","SB","GEN","","","","",""
"48100-137274","MID","Clozer","Clozer","Clozer","65.19333394368489","3","8800","T1@AF","T1","AF","","","","",""
"48100-122702","JNG","Clid","Clid","Clid","62.48454700816762","22","8700","GEN@SB","GEN","SB","","","","",""
"48100-122712","MID","Faker","Faker","Faker","65.44842208059211","19","8700","T1@AF","T1","AF","","","","",""
"48100-122701","TOP","Rascal","Rascal","Rascal","60.207275390625","22","8600","GEN@SB","GEN","SB","","","","",""
"48100-122908","ADC","Leo","Leo","Leo","8.9975004196167","8","8600","GEN@SB","SB","GEN","","","","",""
"48100-122715","ADC","Gumayusi","Gumayusi","Gumayusi","0","9","8500","T1@AF","T1","AF","","","","",""
"48100-122801","ADC","SS","SS","AF","0","10","8500","T1@AF","AF","T1","","","","",""
"48100-122709","TOP","Canna","Canna","Canna","68.24454567649148","22","8400","T1@AF","T1","AF","","","","",""
"48100-122710","JNG","Cuzz","Cuzz","Cuzz","57.280999755859376","20","8400","T1@AF","T1","AF","","","","",""
"48100-122800","MID","Fly","Fly","AF","50.15293974034927","17","8200","T1@AF","AF","T1","","","","",""
"48100-122705","SUP","Life","Life","Life","42.707000732421875","20","8000","GEN@SB","GEN","SB","","","","",""
"48100-122707","TEAM","GenG","GenG","GenG","47.86363636363637","22","8000","GEN@SB","GEN","SB","","","","",""
"48100-122791","TOP","Kiin","Kiin","Kiin","52.60777791341146","18","8000","T1@AF","AF","T1","","","","",""
"48100-122793","JNG","Spirit","Spirit","Spirit","50.13555569118924","18","8000","T1@AF","AF","T1","","","","",""
"48100-122795","MID","ALL IN","ALL IN","ALL IN","18.16181807084517","11","7900","T1@AF","AF","T1","","","","",""
"48100-122711","JNG","Ellim","Ellim","Ellim","19.761818625710227","11","7800","T1@AF","T1","AF","","","","",""
"48100-122907","MID","FATE","FATE","FATE","51.62210564864309","19","7800","GEN@SB","SB","GEN","","","","",""
"48100-122716","SUP","Effort","Effort","Effort","50.79545454545455","22","7800","T1@AF","T1","AF","","","","",""
"48100-122718","TEAM","T1","T1","T1","49.04545454545455","22","7800","T1@AF","T1","AF","","","","",""
"48100-122902","TOP","Summit","Summit","Summit","42.85909201882102","22","7700","GEN@SB","SB","GEN","","","","",""
"48100-122904","JNG","OnFleek","OnFleek","OnFleek","45.04285830543155","21","7700","GEN@SB","SB","GEN","","","","",""
"48100-122905","JNG","Punch","Punch","Punch","10.962499618530273","8","7600","GEN@SB","SB","GEN","","","","",""
"48100-122906","MID","Dove","Dove","Dove","22.48800048828125","10","7600","GEN@SB","SB","GEN","","","","",""
"48100-122706","SUP","Kellin","Kellin","Kellin","13.24923119178185","13","7500","GEN@SB","GEN","SB","","","","",""
"48100-122794","JNG","Dread","Dread","Dread","1.7760000228881836","10","7500","T1@AF","AF","T1","","","","",""
"48100-122797","SUP","Ben","Ben","Ben","33.69647216796875","17","7300","T1@AF","AF","T1","","","","",""
"48100-122799","TEAM","Afreeca Freecs","Afreeca Freecs","Afreeca Freecs","35.22222222222222","18","7300","T1@AF","AF","T1","","","","",""
"48100-122708","TOP","Roach","Roach","Roach","0","9","7000","T1@AF","T1","AF","","","","",""
"48100-122903","TOP","Lonely","Lonely","Lonely","0","7","7000","GEN@SB","SB","GEN","","","","",""
"48100-122792","TOP","Hoon","Hoon","Hoon","0","10","7000","T1@AF","AF","T1","","","","",""
"48100-122911","SUP","GorillA","GorillA","GorillA","34.25238037109375","21","6900","GEN@SB","SB","GEN","","","","",""
"48100-122912","TEAM","SANDBOX Gaming","SANDBOX Gaming","SANDBOX Gaming","31.5","22","6900","GEN@SB","SB","GEN","","","","",""
"48100-122960","SUP","Kabbie","Kabbie","Kabbie","17.327999877929688","10","6600","GEN@SB","SB","GEN","","","","",""
"48100-122717","SUP","Kuri","Kuri","Kuri","1.1960000038146972","10","6500","T1@AF","T1","AF","","","","",""
"48100-122798","SUP","Jelly","Jelly","Jelly","11.909090909090908","11","6500","T1@AF","AF","T1","","","","",""
