"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"48647-122858","ADC","Ghost","Ghost","Ghost","70.69217582370923","23","10400","KT@DWG","DWG","KT","","","","",""
"48647-122704","ADC","Ruler","Ruler","Ruler","76.62333170572917","24","9800","AF@GEN","GEN","AF","","","","",""
"48647-122856","MID","ShowMaker","ShowMaker","ShowMaker","81.51304560122283","23","9500","KT@DWG","DWG","KT","","","","",""
"48647-122703","MID","Bdd","Bdd","Bdd","72.78666687011719","24","9200","AF@GEN","GEN","AF","","","","",""
"48647-122796","ADC","Mystic","Mystic","Mystic","63.5","21","9200","AF@GEN","AF","GEN","","","","",""
"48647-122788","ADC","Aiming","Aiming","Aiming","69.1445478959517","22","8900","KT@DWG","KT","DWG","","","","",""
"48647-122855","JNG","Canyon","Canyon","Canyon","67.75217603600544","23","8700","KT@DWG","DWG","KT","","","","",""
"48647-122800","MID","Fly","Fly","AF","51.347998046875","20","8600","AF@GEN","AF","GEN","","","","",""
"48647-122787","MID","Kuro","Kuro","Kuro","47.70555623372396","18","8400","KT@DWG","KT","DWG","","","","",""
"48647-122853","TOP","Nuguri","Nuguri","Nuguri","70.29478388247283","23","8400","KT@DWG","DWG","KT","","","","",""
"48647-122702","JNG","Clid","Clid","Clid","64.51333109537761","24","8300","AF@GEN","GEN","AF","","","","",""
"48647-122701","TOP","Rascal","Rascal","Rascal","62.470001220703125","24","8000","AF@GEN","GEN","AF","","","","",""
"48647-122859","SUP","BeryL","BeryL","BeryL","58.41391389266305","23","8000","KT@DWG","DWG","KT","","","","",""
"48647-122793","JNG","Spirit","Spirit","Spirit","50.92857142857143","21","7900","AF@GEN","AF","GEN","","","","",""
"48647-122860","TEAM","DAMWON Gaming","DAMWON Gaming","DAMWON Gaming","50.869565217391305","23","7900","KT@DWG","DWG","KT","","","","",""
"48647-122958","MID","Ucal","Ucal","Ucal","47.4587516784668","16","7800","KT@DWG","KT","DWG","","","","",""
"48647-122705","SUP","Life","Life","Life","44.69727394797585","22","7700","AF@GEN","GEN","AF","","","","",""
"48647-122707","TEAM","GenG","GenG","GenG","48.5","24","7700","AF@GEN","GEN","AF","","","","",""
"48647-122791","TOP","Kiin","Kiin","Kiin","52.400001162574405","21","7500","AF@GEN","AF","GEN","","","","",""
"48647-122786","JNG","BonO","BonO","BonO","44.710475376674104","21","7400","KT@DWG","KT","DWG","","","","",""
"48647-122794","JNG","Dread","Dread","Dread","2.1566665967305503","12","7400","AF@GEN","AF","GEN","","","","",""
"48647-122799","TEAM","Afreeca Freecs","Afreeca Freecs","Afreeca Freecs","35.76190476190476","21","7400","AF@GEN","AF","GEN","","","","",""
"48647-131677","TOP","Smeb","Smeb","Smeb","45.955714634486604","14","7300","KT@DWG","KT","DWG","","","","",""
"48647-122790","TEAM","kt Rolster","kt Rolster","kt Rolster","39.18181818181818","22","7200","KT@DWG","KT","DWG","","","","",""
"48647-122797","SUP","Ben","Ben","Ben","34.38200073242187","20","7200","AF@GEN","AF","GEN","","","","",""
"48647-122785","JNG","Malrang","Malrang","Malrang","19.48800048828125","10","7000","KT@DWG","KT","DWG","","","","",""
"48647-122784","TOP","SoHwan","SoHwan","SoHwan","36.320000143612134","17","7000","KT@DWG","KT","DWG","","","","",""
"48647-122789","SUP","TusiN","TusiN","TusiN","42.60199890136719","20","6900","KT@DWG","KT","DWG","","","","",""
"48647-123078","SUP","Hoit","Hoit","Hoit","0","10","6200","KT@DWG","DWG","KT","","","","",""
"48647-122706","SUP","Kellin","Kellin","Kellin","12.302857535226005","14","6200","AF@GEN","GEN","AF","","","","",""
"48647-122783","TOP","Ray","Ray","Ray","0.5","8","6200","KT@DWG","KT","DWG","","","","",""
"48647-122854","TOP","Flame","Flame","Flame","2","10","6200","KT@DWG","DWG","KT","","","","",""
"48647-122857","ADC","Nuclear","Nuclear","Nuclear","2","10","6200","KT@DWG","DWG","KT","","","","",""
"48647-122792","TOP","Hoon","Hoon","Hoon","0","12","6200","AF@GEN","AF","GEN","","","","",""
"48647-122795","MID","ALL IN","ALL IN","ALL IN","15.367692213792067","13","6200","AF@GEN","AF","GEN","","","","",""
"48647-122798","SUP","Jelly","Jelly","Jelly","9.464285714285714","14","6200","AF@GEN","AF","GEN","","","","",""
"48647-122801","ADC","SS","SS","AF","0","12","6200","AF@GEN","AF","GEN","","","","",""
