slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
47195,vs SK,LEC Main,Carzzy,ADC,P,MAD,1,-282.5,74.1%,10300,4.1,2.1,6.1,257.4,0.0,80.0,37.2,35.0,27.47,27.47,100,,6,2.7
47195,vs OG,LEC Main,Rekkles,ADC,P,FNC,1,-117.5,54.1%,10100,4.0,1.4,6.6,306.2,0.0,77.4,39.7,33.3,27.46,27.46,100,,16,2.7
47195,vs RGE,LEC Main,Perkz,ADC,P,G2,1,-125.0,55.6%,9900,4.1,2.6,5.3,282.7,0.0,91.1,44.9,46.6,21.2,21.2,100,,0,2.1
47195,vs S04,LEC Main,Kobbe,ADC,P,MSF,1,-240.0,70.4%,9600,3.1,1.4,4.8,326.2,0.0,38.0,30.7,25.3,0.0,0.0,100,,18,0.0
47195,vs SK,LEC Main,Humanoid,MID,P,MAD,1,-282.5,74.1%,9300,3.7,2.5,5.8,288.9,0.2,65.5,33.6,26.1,26.34,26.34,100,,22,2.8
47195,vs VIT,LEC Main,Patrik,ADC,P,XL,1,-120.0,54.6%,9200,2.9,2.4,3.7,307.7,10.8,43.8,20.0,13.2,24.01,24.01,100,,34,2.6
47195,vs SK,LEC Main,Shad0w,JNG,P,MAD,1,-282.5,74.1%,9000,3.3,2.3,7.0,165.5,0.0,79.3,34.5,34.7,27.21,27.21,100,,0,3.0
47195,vs OG,LEC Main,Nemesis,MID,P,FNC,1,-117.5,54.1%,9000,2.9,2.3,5.4,291.4,0.0,63.3,31.5,29.3,19.35,19.35,100,,7,2.2
47195,vs FNC,LEC Main,Upset,ADC,P,OG,1,117.5,46%,8900,3.7,1.3,5.4,341.8,1.7,73.5,35.3,28.7,30.42,30.42,100,,19,3.4
47195,vs OG,LEC Main,SelfMade,JNG,P,FNC,1,-117.5,54.1%,8800,3.9,2.4,6.3,186.3,0.0,72.9,34.8,33.7,22.3,22.3,100,,3,2.5
47195,vs RGE,LEC Main,Caps,MID,P,G2,1,-125.0,55.6%,8700,4.4,2.6,7.5,262.8,0.0,103.0,50.7,51.4,25.89,25.89,100,,0,3.0
47195,vs G2,LEC Main,Hans sama,ADC,P,RGE,1,125.0,44.4%,8500,3.1,1.6,4.7,307.8,2.2,56.2,27.4,21.6,23.75,23.75,100,,21,2.8
47195,vs S04,LEC Main,Febiven,MID,P,MSF,1,-240.0,70.4%,8500,2.9,2.5,3.8,280.8,8.2,46.9,23.0,15.5,23.66,23.66,100,,33,2.8
47195,vs SK,LEC Main,Orome,TOP,P,MAD,1,-282.5,74.1%,8500,2.4,2.3,6.0,238.9,0.0,58.8,28.4,23.9,22.97,22.97,100,,16,2.7
47195,vs RGE,LEC Main,Jankos,JNG,P,G2,1,-125.0,55.6%,8500,3.9,2.4,7.3,162.5,0.0,85.3,43.1,41.2,23.5,23.5,100,,4,2.8
47195,vs OG,LEC Main,Bwipo,TOP,P,FNC,1,-117.5,54.1%,8300,2.8,3.4,6.6,227.0,0.0,63.9,31.0,30.2,18.58,18.58,100,,3,2.2
47195,vs S04,LEC Main,Razork,JNG,P,MSF,1,-240.0,70.4%,8200,2.4,3.1,5.5,165.1,9.9,45.4,21.0,14.2,24.07,24.07,100,,32,2.9
47195,vs VIT,LEC Main,Special,MID,P,XL,1,-120.0,54.6%,8200,3.7,1.9,5.1,293.1,0.0,46.2,25.2,18.8,17.95,17.95,100,,25,2.2
47195,vs XL,LEC Main,Comp,ADC,P,VIT,1,120.0,45.5%,8200,3.7,2.7,3.5,344.4,13.0,47.3,22.3,13.7,26.71,26.71,100,,39,3.3
47195,vs MAD,LEC Main,Crownshot,ADC,P,SK,1,282.5,26.1%,8100,2.8,1.7,3.8,344.7,11.2,39.5,21.0,11.3,22.53,22.53,100,,46,2.8
47195,vs RGE,LEC Main,Wunder,TOP,P,G2,1,-125.0,55.6%,8100,2.9,2.9,5.9,232.0,0.0,75.4,37.0,37.3,19.46,19.46,100,,0,2.4
47195,vs SK,LEC Main,Kaiser,SUP,P,MAD,1,-282.5,74.1%,8000,1.2,1.9,9.6,57.2,2.9,53.6,27.6,20.3,23.16,23.16,100,,26,2.9
47195,vs VIT,LEC Main,Caedrel,JNG,P,XL,1,-120.0,54.6%,8000,1.6,2.8,3.9,166.3,6.8,29.5,13.2,9.1,15.88,15.88,100,,31,2.0
47195,vs FNC,LEC Main,Nukeduck,MID,P,OG,1,117.5,46%,8000,2.2,2.3,5.6,272.2,0.0,60.6,27.2,24.9,23.27,23.27,100,,8,2.9
47195,vs MSF,LEC Main,Neon,ADC,P,S04,1,240.0,29.4%,8000,2.1,2.8,3.6,293.9,0.0,19.1,16.6,12.7,0.0,0.0,100,,23,0.0
47195,vs G2,LEC Main,Larssen,MID,P,RGE,1,125.0,44.4%,7900,4.5,1.6,4.4,311.0,9.1,58.1,30.4,19.6,28.73,28.73,100,,36,3.6
47195,vs S04,LEC Main,Dan Dan,TOP,P,MSF,1,-240.0,70.4%,7900,2.5,2.3,3.8,262.4,9.8,41.1,20.2,12.5,22.3,22.3,100,,38,2.8
47195,vs SK,LEC Main,MAD Lions,TEAM,Y,MAD,1,-282.5,74.1%,7900,0.0,0.0,0.0,0.0,7.7,33.0,18.2,10.1,17.84,17.84,100,,45,2.3
47195,vs OG,LEC Main,Fnatic,TEAM,Y,FNC,1,-117.5,54.1%,7800,0.0,0.0,0.0,0.0,0.0,49.5,23.2,22.9,15.17,15.17,100,,1,1.9
47195,vs XL,LEC Main,Milica,MID,P,VIT,1,120.0,45.5%,7800,2.9,2.0,4.6,335.1,16.7,41.4,22.6,9.9,26.55,26.55,100,,56,3.4
47195,vs FNC,LEC Main,Xerxe,JNG,P,OG,1,117.5,46%,7800,2.5,1.7,6.0,174.3,2.3,55.3,26.6,21.2,23.51,23.51,100,,20,3.0
47195,vs OG,LEC Main,Hylissang,SUP,P,FNC,1,-117.5,54.1%,7800,0.7,4.1,8.1,52.0,0.0,55.3,22.6,29.4,11.24,11.24,100,,0,1.4
47195,vs RGE,LEC Main,G2 Esports,TEAM,Y,G2,1,-125.0,55.6%,7700,0.0,0.0,0.0,0.0,0.0,52.7,24.7,25.9,13.85,13.85,100,,0,1.8
47195,vs VIT,LEC Main,Kryze,TOP,P,XL,1,-120.0,54.6%,7700,2.2,2.3,2.4,280.2,8.0,34.8,14.7,10.7,18.74,18.74,100,,27,2.4
47195,vs RGE,LEC Main,Mikyx,SUP,P,G2,1,-125.0,55.6%,7700,1.1,2.8,9.7,50.2,0.0,77.6,36.0,41.0,16.11,16.11,100,,0,2.1
47195,vs MAD,LEC Main,ZaZee,MID,P,SK,1,282.5,26.1%,7600,2.4,1.8,5.9,320.1,13.5,36.0,23.6,9.0,22.45,22.45,100,,62,3.0
47195,vs S04,LEC Main,Misfits,TEAM,Y,MSF,1,-240.0,70.4%,7600,0.0,0.0,0.0,0.0,4.0,37.8,17.9,13.5,17.52,17.52,100,,25,2.3
47195,vs VIT,LEC Main,Excel Esports,TEAM,Y,XL,1,-120.0,54.6%,7500,0.0,0.0,0.0,0.0,5.1,27.8,11.3,9.1,14.18,14.18,100,,19,1.9
47195,vs S04,LEC Main,Doss,SUP,P,MSF,1,-240.0,70.4%,7500,0.2,2.6,6.6,32.1,6.6,28.3,11.8,8.7,15.25,15.25,100,,26,2.0
47195,vs FNC,LEC Main,Alphari,TOP,P,OG,1,117.5,46%,7500,3.1,1.9,4.4,291.3,6.5,50.2,26.6,17.5,23.96,23.96,100,,34,3.2
47195,vs G2,LEC Main,Inspired,JNG,P,RGE,1,125.0,44.4%,7400,1.9,1.6,6.8,157.0,1.8,50.8,24.4,19.6,21.39,21.39,100,,20,2.9
47195,vs FNC,LEC Main,Origen,TEAM,Y,OG,1,117.5,46%,7400,0.0,0.0,0.0,0.0,1.7,32.2,18.2,12.2,13.92,13.92,100,,33,1.9
47195,vs G2,LEC Main,Finn,TOP,P,RGE,1,125.0,44.4%,7300,1.8,2.8,5.3,240.3,0.0,51.9,22.0,22.3,18.4,18.4,100,,0,2.5
47195,vs G2,LEC Main,Rogue,TEAM,Y,RGE,1,125.0,44.4%,7300,0.0,0.0,0.0,0.0,0.0,32.6,17.6,13.6,12.2,12.2,100,,23,1.7
47195,vs VIT,LEC Main,Tore,SUP,P,XL,1,-120.0,54.6%,7300,0.5,3.0,5.5,40.8,2.0,26.3,10.3,9.7,11.7,11.7,100,,6,1.6
47195,vs MSF,LEC Main,Abbedagge,MID,P,S04,1,240.0,29.4%,7300,3.3,2.4,3.8,349.3,12.2,43.4,21.1,12.5,24.65,24.65,100,,41,3.4
47195,vs XL,LEC Main,Team Vitality,TEAM,Y,VIT,1,120.0,45.5%,7200,0.0,0.0,0.0,0.0,6.1,27.3,11.7,8.5,14.56,14.56,100,,27,2.0
47195,vs XL,LEC Main,Skeanz,JNG,P,VIT,1,120.0,45.5%,7200,2.4,2.9,4.8,174.8,12.7,44.2,17.3,12.6,25.25,25.25,100,,27,3.5
47195,vs FNC,LEC Main,Jactroll,SUP,P,OG,1,117.5,46%,7200,0.3,3.8,6.3,29.3,3.3,21.5,10.4,7.3,10.57,10.57,100,,30,1.5
47195,vs G2,LEC Main,Vander,SUP,P,RGE,1,125.0,44.4%,7100,1.0,1.9,7.1,38.0,1.9,37.2,18.4,14.1,16.04,16.04,100,,23,2.3
47195,vs MAD,LEC Main,SK Gaming,TEAM,Y,SK,1,282.5,26.1%,7100,0.0,0.0,0.0,0.0,2.4,25.6,13.4,9.3,11.69,11.69,100,,31,1.6
47195,vs MAD,LEC Main,Trick,JNG,P,SK,1,282.5,26.1%,7100,1.6,3.0,4.9,168.6,7.0,29.0,14.8,8.8,15.81,15.81,100,,41,2.2
47195,vs XL,LEC Main,Cabochard,TOP,P,VIT,1,120.0,45.5%,7100,1.8,2.6,4.0,264.4,12.1,35.1,16.2,9.2,21.34,21.34,100,,43,3.0
47195,vs MSF,LEC Main,FC Schalke 04,TEAM,Y,S04,1,240.0,29.4%,7000,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0
47195,vs XL,LEC Main,Labrov,SUP,P,VIT,1,120.0,45.5%,7000,0.1,2.5,8.2,33.1,6.3,28.5,14.9,8.9,15.17,15.17,100,,40,2.2
47195,vs XL,LEC Main,Nji,JNG,P,VIT,1,120.0,45.5%,7000,0.5,3.1,5.1,163.6,4.8,25.0,11.9,8.1,12.87,12.87,100,,32,1.8
47195,vs MSF,LEC Main,Gilius,JNG,P,S04,1,240.0,29.4%,7000,2.7,2.4,4.2,179.9,12.2,36.5,17.6,9.7,21.93,21.93,100,,45,3.1
47195,vs FNC,LEC Main,Destiny,SUP,D,OG,1,117.5,46%,7000,0.7,2.3,7.8,32.3,0.0,28.4,21.0,18.9,0.0,0.0,100,,10,0.0
47195,vs MSF,LEC Main,Lurox,JNG,P,S04,1,240.0,29.4%,6900,1.9,2.1,5.1,194.4,4.6,33.1,17.1,11.4,16.02,16.02,100,,33,2.3
47195,vs MAD,LEC Main,Jenax,TOP,P,SK,1,282.5,26.1%,6900,2.3,2.8,3.8,271.8,7.8,34.3,17.1,10.6,18.43,18.43,100,,38,2.7
47195,vs MAD,LEC Main,LIMIT,SUP,P,SK,1,282.5,26.1%,6900,0.9,3.3,5.9,35.2,0.5,29.2,11.8,11.5,11.96,11.96,100,,3,1.7
47195,vs MSF,LEC Main,Odoamne,TOP,P,S04,1,240.0,29.4%,6800,2.2,2.1,4.3,296.4,7.6,38.1,19.1,12.2,19.77,19.77,100,,36,2.9
47195,vs MSF,LEC Main,Dreams,SUP,P,S04,1,240.0,29.4%,6700,0.5,3.2,6.0,35.1,1.0,24.5,11.1,9.4,10.39,10.39,100,,15,1.6
47195,vs S04,LEC Main,Ronaldooo,MID,D,MSF,1,-240.0,70.4%,6200,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0
47195,vs S04,LEC Main,denyk,SUP,D,MSF,1,-240.0,70.4%,6200,0.8,2.5,6.6,35.6,0.0,18.2,18.0,12.1,0.0,0.0,100,,33,0.0
47195,vs VIT,LEC Main,Swiffer,MID,D,XL,1,-120.0,54.6%,6200,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0
47195,vs MSF,LEC Main,Kamito,SUP,P,S04,1,240.0,29.4%,6200,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0
47195,vs MSF,LEC Main,Innaxe,ADC,P,S04,1,240.0,29.4%,6200,3.7,1.7,5.2,362.0,9.6,37.6,28.0,11.2,20.8,20.8,100,,60,3.4
47195,vs MSF,LEC Main,FORG1VEN,ADC,P,S04,1,240.0,29.4%,6200,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0
47195,vs MAD,LEC Main,Bertho,SUP,D,SK,1,282.5,26.1%,6200,,,,,0.0,0.0,,,0.0,0.0,100,,0,0.0
47195,vs MSF,LEC Main,NukesAlot,SUP,P,S04,1,240.0,29.4%,6200,0.7,2.2,5.5,52.7,0.0,14.1,11.9,9.4,0.0,0.0,100,,21,0.0
47195,vs RGE,LEC Main,P1noy,ADC,D,G2,1,-125.0,55.6%,6200,3.5,2.5,5.5,115.5,0.0,9.9,21.3,6.6,0.0,0.0,100,,0,0.0
47195,vs SK,LEC Main,Carzzy - STAR,ADC,P,MAD,1,-282.5,74.1%,10300,4.1,2.1,6.1,257.4,0.0,80.0,37.2,35.0,41.21,41.21,100,,6,2.7
47195,vs OG,LEC Main,Rekkles - STAR,ADC,P,FNC,1,-117.5,54.1%,10100,4.0,1.4,6.6,306.2,0.0,77.4,39.7,33.3,41.19,41.19,100,,16,2.7
47195,vs RGE,LEC Main,Perkz - STAR,ADC,P,G2,1,-125.0,55.6%,9900,4.1,2.6,5.3,282.7,0.0,91.1,44.9,46.6,31.8,31.8,100,,0,2.1
47195,vs S04,LEC Main,Kobbe - STAR,ADC,P,MSF,1,-240.0,70.4%,9600,3.1,1.4,4.8,326.2,0.0,38.0,30.7,25.3,0.0,0.0,100,,18,0.0
47195,vs SK,LEC Main,Humanoid - STAR,MID,P,MAD,1,-282.5,74.1%,9300,3.7,2.5,5.8,288.9,0.2,65.5,33.6,26.1,39.51,39.51,100,,22,2.8
47195,vs VIT,LEC Main,Patrik - STAR,ADC,P,XL,1,-120.0,54.6%,9200,2.9,2.4,3.7,307.7,10.8,43.8,20.0,13.2,36.02,36.02,100,,34,2.6
47195,vs SK,LEC Main,Shad0w - STAR,JNG,P,MAD,1,-282.5,74.1%,9000,3.3,2.3,7.0,165.5,0.0,79.3,34.5,34.7,40.82,40.82,100,,0,3.0
47195,vs OG,LEC Main,Nemesis - STAR,MID,P,FNC,1,-117.5,54.1%,9000,2.9,2.3,5.4,291.4,0.0,63.3,31.5,29.3,29.03,29.03,100,,7,2.2
47195,vs FNC,LEC Main,Upset - STAR,ADC,P,OG,1,117.5,46%,8900,3.7,1.3,5.4,341.8,1.7,73.5,35.3,28.7,45.63,45.63,100,,19,3.4
47195,vs OG,LEC Main,SelfMade - STAR,JNG,P,FNC,1,-117.5,54.1%,8800,3.9,2.4,6.3,186.3,0.0,72.9,34.8,33.7,33.45,33.45,100,,3,2.5
