slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,AvgTur,AvgDrg,AvgBrns,AvgLgth,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
48221,vs HLE,LCK Main,Doran - STAR,TOP,P,DRX,3,-1375,93.50%,8700,2.6,2.5,5.3,271.7,0,0,0,32:25:00,34.5,93.7,62.2,23.7,87.27,87.27,100,,62,6.7
48221,vs APK,LCK Main,Ucal - STAR,MID,P,KT,3,-625,86.20%,8700,2.3,2,3.9,293,0,0,0,33:18:00,0,47.7,48.9,25.8,13.53,13.53,100,,47,1
48221,vs DRX,LCK Main,Vsta - STAR,ADC,D,HLE,3,1375,6.80%,8600,2.6,1.9,3.9,264.1,0,0,0,31:50:00,0,52.5,45.5,35,0,0,100,,23,0
48221,vs APK,LCK Main,bonO - STAR,JNG,D,KT,3,-625,86.20%,8400,1.8,2.3,5.8,170.9,0,0,0,32:20:00,0,41.3,46.3,27.5,0,0,100,,41,0
48221,vs APK,LCK Main,SoHwan - STAR,TOP,D,KT,3,-625,86.20%,8300,1.7,2.1,4,256.2,0,0,0,32:03:00,0,38.3,42.3,25.5,0,0,100,,40,0
48221,vs KT,LCK Main,Mickey - STAR,MID,P,APK,3,625,13.80%,8300,2.1,3,3.1,274.1,0,0,0,32:30:00,0,45.3,27.5,21.8,18.95,18.95,100,,21,1.5
48221,vs APK,LCK Main,Smeb - STAR,TOP,P,KT,3,-625,86.20%,8200,2.4,2.6,4,219.5,0,0,0,32:47:00,38.1,104.4,41.8,26.5,96.9,96.9,100,,37,7.9
48221,vs HLE,LCK Main,Keria - STAR,SUP,P,DRX,3,-1375,93.50%,8100,0.9,1.9,8.9,42.6,0,0,0,32:25:00,29,88.5,56.5,23.8,79.17,79.17,100,,58,6.5
48221,vs DRX,LCK Main,CuVee - STAR,TOP,P,HLE,3,1375,6.80%,8000,2,3.6,3,246.3,0,0,0,32:25:00,0,64.1,33.7,26.2,37.19,37.19,100,,22,3.1
48221,vs DRX,LCK Main,Mireu - STAR,MID,P,HLE,3,1375,6.80%,7900,1.4,3,4.1,253.5,0,0,0,30:27:00,12.2,67.2,35.1,22,51.23,51.23,100,,37,4.3
48221,vs DRX,LCK Main,Haru - STAR,JNG,D,HLE,3,1375,6.80%,7900,1.7,3,4.6,172.4,0,0,0,32:11:00,0,37.7,38.6,25.1,0,0,100,,35,0
48221,vs KT,LCK Main,ikssu - STAR,TOP,P,APK,3,625,13.80%,7900,1.9,3.7,3.7,230,0,0,0,33:15:00,3.1,61.9,36.6,23.5,39.92,39.92,100,,36,3.4
48221,vs DRX,LCK Main,DuDu - STAR,TOP,D,HLE,3,1375,6.80%,7800,2.5,3.3,3.2,249.6,0,0,0,31:58:00,0,41.3,37.4,27.5,0,0,100,,26,0
48221,vs DRX,LCK Main,Lava - STAR,MID,D,HLE,3,1375,6.80%,7800,1.8,2.8,3.5,254.3,0,0,0,32:40:00,0,36.8,34.2,24.5,0,0,100,,28,0
48221,vs KT,LCK Main,Flawless - STAR,JNG,P,APK,3,625,13.80%,7700,1.7,3.2,4.6,171,0,0,0,33:39:00,1.3,63.3,38.7,24.8,39.12,39.12,100,,36,3.4
48221,vs DRX,LCK Main,CAD - STAR,JNG,D,HLE,3,1375,6.80%,7600,2.5,3.7,7.2,127.4,0,0,0,33:48:00,0,46.1,38.5,30.7,0,0,100,,20,0
48221,vs APK,LCK Main,TusiN - STAR,SUP,P,KT,3,-625,86.20%,7600,0.5,2.2,6.9,42.7,0,0,0,31:42:00,34.8,91.6,38.4,22.7,86.27,86.27,100,,41,7.6
48221,vs HLE,LCK Main,Quad - STAR,MID,P,DRX,3,-1375,93.50%,7500,,,,,,,,,47.8,47.8,,,71.72,71.72,100,,0,6.4
48221,vs KT,LCK Main,Kuma - STAR,JNG,P,APK,3,625,13.80%,7500,1.4,3.1,3.6,157,0,0,0,30:14:00,18.3,52.1,21.9,13.5,47.7,47.7,100,,38,4.2
48221,vs KT,LCK Main,Keine - STAR,MID,D,APK,3,625,13.80%,7500,1.7,2.1,3.7,277,0,0,0,32:55:00,5.6,63.4,35.5,23.1,43.07,43.07,100,,35,3.8
48221,vs KT,LCK Main,Secret - STAR,SUP,P,APK,3,625,13.80%,7200,0.3,3.1,5.5,34.2,0,0,0,33:06:00,0,49.9,25.5,24.3,20.21,20.21,100,,5,1.9
48221,vs APK,LCK Main,Malrang - STAR,JNG,P,KT,3,-625,86.20%,7200,1.5,2.9,3.7,158,0,0,0,30:51:00,28.5,74.2,21.1,18.3,70.13,70.13,100,,13,6.5
48221,vs DRX,LCK Main,YeongJae - STAR,JNG,P,HLE,3,1375,6.80%,7000,1.3,4.2,3.5,126,0,0,0,26:21:00,0,66.4,29.2,30.3,31.46,31.46,100,,0,3
48221,vs APK,LCK Main,Ray - STAR,TOP,D,KT,3,-625,86.20%,7000,1.1,3.1,2.1,233.5,0,0,0,31:59:00,0,46.1,21.4,30.7,0,0,100,,0,0
48221,vs DRX,LCK Main,Lehends - STAR,SUP,P,HLE,3,1375,6.80%,7000,0.5,2.6,6.1,42.9,0,0,0,32:02:00,1.2,62,32.2,24.3,38.25,38.25,100,,25,3.6
48221,vs KT,LCK Main,Alphamong - STAR,TOP,P,APK,3,625,13.80%,7000,,,,,,,,,10.4,10.4,,,15.6,15.6,100,,0,1.5
48221,vs KT,LCK Main,Mia - STAR,SUP,P,APK,3,625,13.80%,6500,1.3,4.5,4.9,44.9,0,0,0,34:52:00,0,45.6,20.2,24.9,12.39,12.39,100,,0,1.3
