slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
47349,vs SN,LCK LPL Main,JackeyLove,ADC,P,TES,3,-257.5,71.9%,10300,4.6,2.9,5.7,303.7,27.0,131.8,70.9,41.9,68.93,68.93,100,,41,6.7
47349,vs WE,LCK LPL Main,SamD,ADC,P,V5,3,-150.0,59.9%,9900,4.2,1.5,5.7,308.0,91.7,146.7,78.2,22.0,113.68,113.68,100,,72,11.5
47349,vs HLE,LCK LPL Main,Mystic,ADC,P,AF,3,-462.5,82%,9800,3.5,2.5,4.0,315.6,34.5,110.3,57.9,30.3,64.84,64.84,100,,48,6.6
47349,vs DRX,LCK LPL Main,Ghost,ADC,P,DWG,3,-120.0,54.6%,9600,3.4,2.1,5.5,281.0,13.3,97.0,57.3,33.5,46.75,46.75,100,,42,4.9
47349,vs DWG,LCK LPL Main,Deft,ADC,P,DRX,3,120.0,45.5%,9500,4.0,1.7,5.3,311.8,30.5,89.7,77.6,23.7,54.15,54.15,100,,69,5.7
47349,vs SN,LCK LPL Main,Knight,MID,P,TES,3,-257.5,71.9%,9200,5.4,2.1,6.4,296.5,39.8,142.0,82.2,40.9,80.66,80.66,100,,50,8.8
47349,vs V5,LCK LPL Main,Jiumeng,ADC,P,WE,3,150.0,40%,9200,4.7,2.5,5.9,294.2,28.8,105.3,83.6,30.6,59.43,59.43,100,,63,6.5
47349,vs WE,LCK LPL Main,y4,ADC,D,V5,3,-150.0,59.9%,9000,2.4,3.4,4.4,169.8,0.0,21.2,33.7,14.1,0.0,0.0,100,,58,0.0
47349,vs WE,LCK LPL Main,Mole,MID,P,V5,3,-150.0,59.9%,8900,2.7,3.1,5.2,225.8,53.5,115.5,49.9,24.8,78.28,78.28,100,,50,8.8
47349,vs AF,LCK LPL Main,Viper,ADC,P,HLE,3,462.5,17.8%,8900,3.0,1.7,3.0,337.0,0.0,57.2,53.1,25.8,18.48,18.48,100,,51,2.1
47349,vs HLE,LCK LPL Main,Fly,MID,P,AF,3,-462.5,82%,8800,2.2,2.3,4.8,254.4,25.1,98.3,46.5,29.3,54.35,54.35,100,,37,6.2
47349,vs AF,LCK LPL Main,Vsta,ADC,D,HLE,3,462.5,17.8%,8800,2.6,1.9,3.9,264.1,0.0,52.5,45.5,35.0,0.0,0.0,100,,23,0.0
47349,vs TES,LCK LPL Main,huanfeng,ADC,P,SN,3,257.5,28%,8700,4.2,2.3,5.2,317.8,28.6,102.1,74.3,29.4,58.03,58.03,100,,60,6.7
