slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
47799,vs OMG,LCK LPL Main,Loken,ADC,P,JDG,3,-547.5,84.7%,10300,4.2,1.6,6.4,304.2,49.3,116.3,81.8,26.8,76.11,76.11,100,,67,7.4
47799,vs HLE,LCK LPL Main,Aiming,ADC,P,KT,3,-410.0,80.6%,9900,3.7,1.7,4.1,315.9,44.3,121.6,61.9,30.9,75.21,75.21,100,,50,7.6
47799,vs DYN,LCK LPL Main,Mystic,ADC,P,AF,3,-270.0,73%,9600,3.5,2.5,4.1,313.0,34.1,109.4,58.8,30.1,64.24,64.24,100,,49,6.7
47799,vs VG,LCK LPL Main,huanfeng,ADC,P,SN,3,-177.5,64.1%,9500,4.2,2.3,5.1,317.0,38.0,111.7,73.1,29.5,67.49,67.49,100,,60,7.1
47799,vs SN,LCK LPL Main,iBoy,ADC,P,VG,3,177.5,36%,9400,3.4,2.1,5.3,294.5,32.7,99.2,66.9,26.6,59.27,59.27,100,,60,6.3
47799,vs AF,LCK LPL Main,deokdam,ADC,P,DYN,3,270.0,27%,9200,2.2,2.4,3.9,288.6,15.0,77.2,47.9,24.9,39.89,39.89,100,,48,4.3
47799,vs OMG,LCK LPL Main,Yagao,MID,P,JDG,3,-547.5,84.7%,9200,3.9,1.6,6.3,270.2,48.8,107.8,77.7,23.6,72.37,72.37,100,,70,7.9
47799,vs KT,LCK LPL Main,Viper,ADC,P,HLE,3,410.0,19.6%,9000,2.8,1.8,2.9,329.8,0.0,57.4,50.7,26.7,17.33,17.33,100,,47,1.9
47799,vs HLE,LCK LPL Main,Kuro,MID,P,KT,3,-410.0,80.6%,8800,2.0,1.6,5.0,262.7,36.3,100.8,52.4,25.8,62.14,62.14,100,,51,7.1
47799,vs OMG,LCK LPL Main,Zoom,TOP,P,JDG,3,-547.5,84.7%,8800,2.9,2.2,7.2,257.6,43.5,91.5,73.5,19.2,62.73,62.73,100,,74,7.1
47799,vs OMG,LCK LPL Main,Kanavi,JNG,P,JDG,3,-547.5,84.7%,8800,3.8,2.2,7.0,205.2,47.3,106.3,75.9,23.6,70.88,70.88,100,,69,8.1
