slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
48346,vs APK,LCK Main,Deft,ADC,P,DRX,3,-2975,97.10%,10200,3.8,1.8,5.3,310.8,52.7,116.7,75.4,25.6,78.32,78.32,100,,66,7.7
48346,vs HLE,LCK Main,Ruler,ADC,P,GEN,3,-1250,92.60%,10000,4.4,1.3,4.9,320.5,45,109.5,76.2,25.8,70.82,70.82,100,,66,7.1
48346,vs APK,LCK Main,Chovy,MID,P,DRX,3,-2975,97.10%,9300,3.4,1.7,5.2,303.6,49.9,111.4,71.7,24.6,74.5,74.5,100,,66,8
48346,vs GEN,LCK Main,Viper,ADC,P,HLE,3,1250,7.40%,9200,2.8,1.9,3,328.9,0,54.1,50.6,26.3,14.67,14.67,100,,48,1.6
48346,vs HLE,LCK Main,Bdd,MID,P,GEN,3,-1250,92.60%,9100,3.5,1.3,5.9,278.2,47.7,104.4,73.7,22.7,70.37,70.37,100,,69,7.7
48346,vs DRX,LCK Main,HyBriD,ADC,P,APK,3,2975,3.30%,9000,3.3,2.6,2.8,340.5,5.3,85.1,24.9,31.9,37.2,37.2,100,,36,4.1
48346,vs GEN,LCK Main,Vsta,ADC,D,HLE,3,1250,7.40%,8900,2.6,1.9,3.9,264.1,0,52.5,45.5,35,0,0,100,,23,0
48346,vs APK,LCK Main,Pyosik,JNG,P,DRX,3,-2975,97.10%,8800,2.7,1.9,7,189.8,44.2,109.2,68.4,26,70.16,70.16,100,,62,8
48346,vs APK,LCK Main,Doran,TOP,P,DRX,3,-2975,97.10%,8700,2.7,2.5,5.3,272.2,42.1,100.8,62.8,23.5,65.56,65.56,100,,63,7.5
48346,vs HLE,LCK Main,Clid,JNG,P,GEN,3,-1250,92.60%,8600,2.5,1.8,7.1,177.8,38.5,97.2,65.3,23.5,61.97,61.97,100,,64,7.2
48346,vs DRX,LCK Main,Trigger,ADC,P,APK,3,2975,3.30%,8600,2,4,2.8,282.4,1.8,47,10.5,18.1,19.85,19.85,100,,14,2.3
48346,vs HLE,LCK Main,Rascal,TOP,P,GEN,3,-1250,92.60%,8500,2.6,1.8,6,266.7,38.4,96.9,64.6,23.4,61.84,61.84,100,,64,7.3
48346,vs GEN,LCK Main,Mireu,MID,P,HLE,3,1250,7.40%,8200,1.4,2.9,4.2,254.1,12.4,64.6,35.4,20.9,33.29,33.29,100,,41,4.1
48346,vs APK,LCK Main,Keria,SUP,P,DRX,3,-2975,97.10%,8100,0.9,1.9,9,42.4,36.2,96.2,57.4,24,60.15,60.15,100,,58,7.4
48346,vs APK,LCK Main,DRX,TEAM,Y,DRX,3,-2975,97.10%,8000,0,0,0,0,57.9,57.9,4,0,57.92,57.92,100,,0,7.2
48346,vs DRX,LCK Main,Mickey,MID,P,APK,3,2975,3.30%,8000,2.1,3,3.1,274.1,0,45.9,13.75,21.8,13.17,13.17,100,,21,1.6
48346,vs GEN,LCK Main,CuVee,TOP,D,HLE,3,1250,7.40%,8000,2,3.6,3,246.3,0,39.3,33.7,26.2,0,0,100,,22,0
48346,vs HLE,LCK Main,Life,SUP,P,GEN,3,-1250,92.60%,7900,0.6,1.9,8.4,41,20.5,75.3,51.7,21.9,42.4,42.4,100,,58,5.4
48346,vs HLE,LCK Main,Gen.G,TEAM,Y,GEN,3,-1250,92.60%,7900,0,0,0,0,40.3,80.3,47.1,16,56.25,56.25,100,,66,7.1
48346,vs GEN,LCK Main,Haru,JNG,D,HLE,3,1250,7.40%,7900,1.7,3,4.6,172.4,0,37.7,38.6,25.1,0,0,100,,35,0
48346,vs DRX,LCK Main,ikssu,TOP,P,APK,3,2975,3.30%,7900,1.9,3.8,3.8,229.7,4.8,62.8,18.25,23.2,27.95,27.95,100,,36,3.5
48346,vs GEN,LCK Main,DuDu,TOP,P,HLE,3,1250,7.40%,7800,2.5,3.3,3.2,251.5,7.5,73.7,36.7,26.5,33.95,33.95,100,,28,4.4
48346,vs GEN,LCK Main,Lava,MID,D,HLE,3,1250,7.40%,7800,1.8,2.8,3.5,254.3,0,36.8,34.2,24.5,0,0,100,,28,0
48346,vs DRX,LCK Main,Flawless,JNG,P,APK,3,2975,3.30%,7700,1.8,3.2,4.6,172.1,3.1,64.1,19.4,24.4,27.5,27.5,100,,37,3.6
48346,vs GEN,LCK Main,CAD,JNG,D,HLE,3,1250,7.40%,7600,2.5,3.7,7.2,127.4,0,46.1,38.5,30.7,0,0,100,,20,0
