slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
48103,vs LGD,LCS LPL Playoffs,Jiumeng,ADC,P,WE,5,155.0,39.2%,10100,4.8,2.5,6.1,295.2,72.6,148.1,84.9,30.2,102.84,102.84,100,,64,10.2
48103,vs GG,LCS LPL Playoffs,Doublelift,ADC,P,TSM,5,-312.5,75.8%,9800,3.4,1.7,3.2,349.7,98.4,126.7,21.8,11.3,109.71,109.71,100,,48,11.2
48103,vs WE,LCS LPL Playoffs,Kramer,ADC,P,LGD,5,-155.0,60.6%,9500,3.7,2.4,5.8,285.7,98.2,170.2,67.9,28.8,126.95,126.95,100,,58,13.4
48103,vs LGD,LCS LPL Playoffs,Teacherma,MID,P,WE,5,155.0,39.2%,9000,3.5,2.7,7.1,243.2,65.1,129.1,78.9,25.6,90.65,90.65,100,,68,10.1
48103,vs TSM,LCS LPL Playoffs,FBI,ADC,P,GG,5,312.5,24.2%,8900,3.0,1.6,4.3,340.6,75.2,105.0,23.4,11.9,87.14,87.14,100,,49,9.8
48103,vs GG,LCS LPL Playoffs,Bjergsen,MID,P,TSM,5,-312.5,75.8%,8700,3.4,1.5,5.1,296.7,106.5,180.2,31.9,29.5,135.98,135.98,100,,8,15.6
48103,vs LGD,LCS LPL Playoffs,beishang,JNG,P,WE,5,155.0,39.2%,8700,3.0,2.1,7.9,187.7,65.9,131.9,76.1,26.4,92.27,92.27,100,,65,10.6
48103,vs WE,LCS LPL Playoffs,xiye,MID,P,LGD,5,-155.0,60.6%,8500,3.6,2.6,5.1,261.7,67.1,134.1,60.2,26.8,93.87,93.87,100,,55,11.0
48103,vs LGD,LCS LPL Playoffs,Morgan,TOP,P,WE,5,155.0,39.2%,8500,2.5,2.7,5.8,239.2,46.4,107.9,61.8,24.6,70.97,70.97,100,,60,8.3
48103,vs GG,LCS LPL Playoffs,Spica,JNG,P,TSM,5,-312.5,75.8%,8400,1.7,2.3,6.1,171.3,134.6,161.3,18.4,10.7,145.29,145.29,100,,42,17.3
48103,vs WE,LCS LPL Playoffs,Peanut,JNG,P,LGD,5,-155.0,60.6%,8200,3.2,2.5,6.2,186.9,100.5,173.5,61.3,29.2,129.69,129.69,100,,52,15.8
48103,vs GG,LCS LPL Playoffs,Broken Blade,TOP,P,TSM,5,-312.5,75.8%,8200,2.4,2.3,5.1,257.5,80.2,144.0,26.4,25.5,105.71,105.71,100,,3,12.9
48103,vs WE,LCS LPL Playoffs,LangX,TOP,P,LGD,5,-155.0,60.6%,8000,2.5,2.3,5.3,262.5,52.8,110.3,57.7,23.0,75.75,75.75,100,,60,9.5
48103,vs LGD,LCS LPL Playoffs,Team WE,TEAM,Y,WE,5,155.0,39.2%,8000,0.0,0.0,0.0,0.0,43.3,90.8,44.2,19.0,62.3,62.3,100,,57,7.8
48103,vs TSM,LCS LPL Playoffs,Damonte,MID,P,GG,5,312.5,24.2%,8000,1.9,1.9,6.0,317.3,47.9,70.4,22.2,9.0,56.85,56.85,100,,59,7.1
48103,vs LGD,LCS LPL Playoffs,Missing,SUP,P,WE,5,155.0,39.2%,7900,0.9,3.1,9.6,40.5,40.5,103.0,57.3,25.0,65.47,65.47,100,,56,8.3
48103,vs TSM,LCS LPL Playoffs,Closer,JNG,P,GG,5,312.5,24.2%,7800,2.3,2.3,5.1,200.1,62.3,91.5,19.9,11.7,73.96,73.96,100,,41,9.5
