slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
47191,vs HLE,LCK LPL Main,Teddy,ADC,P,T1,3,-1000.0,90.9%,10200,4.2,1.3,5.1,351.1,46.9,119.1,72.3,28.9,75.76,75.76,100,,60,7.4
47191,vs GEN,LCK LPL Main,Deft,ADC,P,DRX,3,-117.5,54.1%,10000,4.0,1.7,5.2,310.4,28.7,89.2,77.7,24.2,52.91,52.91,100,,69,5.3
47191,vs EDG,LCK LPL Main,Lwx,ADC,Y,FPX,3,-225.0,69.4%,9800,3.9,1.7,6.8,253.7,34.8,114.5,71.4,31.9,66.66,66.66,100,,55,6.8
47191,vs OMG,LCK LPL Main,iBoy,ADC,Y,VG,3,-205.0,67.1%,9500,3.4,2.1,5.3,295.6,44.1,112.3,66.7,27.3,71.35,71.35,100,,59,7.5
47191,vs DRX,LCK LPL Main,Ruler,ADC,P,GEN,3,117.5,46%,9200,4.7,1.3,5.0,318.7,25.7,92.7,78.2,26.8,52.52,52.52,100,,66,5.7
47191,vs HLE,LCK LPL Main,Faker,MID,P,T1,3,-1000.0,90.9%,9200,3.2,1.6,5.1,303.8,37.2,106.4,63.8,27.7,64.88,64.88,100,,57,7.1
47191,vs GEN,LCK LPL Main,Chovy,MID,P,DRX,3,-117.5,54.1%,9000,3.4,1.5,5.3,303.1,27.0,84.7,73.1,23.1,50.05,50.05,100,,68,5.6
47191,vs VG,LCK LPL Main,Smlz,ADC,Y,OMG,3,205.0,32.8%,8800,3.0,2.4,4.3,285.9,20.1,85.1,57.2,26.0,46.05,46.05,100,,55,5.2
47191,vs EDG,LCK LPL Main,Doinb,MID,Y,FPX,3,-225.0,69.4%,8700,4.3,2.0,6.9,273.6,37.2,118.2,73.8,32.4,69.6,69.6,100,,56,8.0
47191,vs HLE,LCK LPL Main,Cuzz,JNG,P,T1,3,-1000.0,90.9%,8700,1.5,1.4,7.1,183.5,39.3,112.3,53.1,29.2,68.45,68.45,100,,45,7.9
47191,vs GEN,LCK LPL Main,Pyosik,JNG,P,DRX,3,-117.5,54.1%,8500,2.6,1.9,7.0,188.8,21.2,81.0,69.0,23.9,45.13,45.13,100,,65,5.3
47191,vs HLE,LCK LPL Main,Canna,TOP,P,T1,3,-1000.0,90.9%,8500,2.8,1.7,5.2,272.3,31.5,104.7,60.9,29.3,60.77,60.77,100,,52,7.1
47191,vs FPX,LCK LPL Main,Hope,ADC,Y,EDG,3,225.0,30.8%,8500,4.6,1.8,5.2,326.2,27.9,101.7,80.0,29.5,57.44,57.44,100,,63,6.8
47191,vs OMG,LCK LPL Main,Zeka,MID,Y,VG,3,-205.0,67.1%,8500,3.1,1.6,4.5,250.8,41.0,112.3,58.5,28.5,69.54,69.54,100,,51,8.2
47191,vs HLE,LCK LPL Main,Ellim,JNG,D,T1,3,-1000.0,90.9%,8400,1.9,1.7,8.5,170.4,0.0,43.1,57.1,28.7,0.0,0.0,100,,50,0.0
47191,vs EDG,LCK LPL Main,Tian,JNG,Y,FPX,3,-225.0,69.4%,8300,2.7,2.1,7.9,179.9,35.2,108.4,63.1,29.3,64.49,64.49,100,,54,7.8
47191,vs DRX,LCK LPL Main,Bdd,MID,P,GEN,3,117.5,46%,8300,3.6,1.2,6.1,278.9,27.2,86.4,74.7,23.7,50.86,50.86,100,,68,6.1
47191,vs GEN,LCK LPL Main,Doran,TOP,P,DRX,3,-117.5,54.1%,8200,2.4,2.4,5.4,268.8,18.4,73.4,62.1,22.0,40.38,40.38,100,,65,4.9
47191,vs T1,LCK LPL Main,Viper,ADC,P,HLE,3,1000.0,9.1%,8200,3.0,1.7,3.0,338.5,0.0,54.2,53.3,26.2,14.85,14.85,100,,51,1.8
47191,vs OMG,LCK LPL Main,Leyan,JNG,N,VG,3,-205.0,67.1%,8000,2.6,3.4,5.9,181.1,0.0,32.7,52.0,21.8,0.0,0.0,100,,58,0.0
47191,vs EDG,LCK LPL Main,GimGoon,TOP,Y,FPX,3,-225.0,69.4%,8000,2.6,1.9,6.1,237.8,29.8,78.0,65.0,19.3,49.07,49.07,100,,70,6.1
47191,vs HLE,LCK LPL Main,Effort,SUP,P,T1,3,-1000.0,90.9%,8000,1.0,2.1,8.1,41.4,21.5,81.7,48.5,24.1,45.55,45.55,100,,50,5.7
47191,vs VG,LCK LPL Main,icon,MID,Y,OMG,3,205.0,32.8%,8000,2.9,2.4,4.5,270.9,18.8,84.5,56.9,26.3,45.05,45.05,100,,54,5.6
47191,vs DRX,LCK LPL Main,Clid,JNG,P,GEN,3,117.5,46%,7900,2.5,1.8,7.3,177.8,18.4,78.7,66.2,24.1,42.5,42.5,100,,64,5.4
47191,vs HLE,LCK LPL Main,T1,TEAM,Y,T1,3,-1000.0,90.9%,7900,0.0,0.0,0.0,0.0,35.1,85.1,49.1,20.0,55.13,55.13,100,,59,7.0
47191,vs GEN,LCK LPL Main,Keria,SUP,P,DRX,3,-117.5,54.1%,7800,0.9,1.8,9.1,43.8,13.6,70.1,57.9,22.6,36.24,36.24,100,,61,4.6
47191,vs GEN,LCK LPL Main,DRX,TEAM,Y,DRX,3,-117.5,54.1%,7800,0.0,0.0,0.0,0.0,43.3,43.3,4.0,0.0,43.26,43.26,100,,0,5.5
47191,vs EDG,LCK LPL Main,Khan,TOP,N,FPX,3,-225.0,69.4%,7800,3.5,1.9,5.6,233.7,0.0,38.3,51.5,25.5,0.0,0.0,100,,50,0.0
47191,vs DRX,LCK LPL Main,Rascal,TOP,P,GEN,3,117.5,46%,7700,2.5,1.8,6.4,263.9,19.8,81.0,65.7,24.5,44.27,44.27,100,,63,5.7
