slate,Opp,Title,Player,Pos,Start,Team,BestOf,Odds,Win %,Salary,AvgKill,AvgDth,AvgAst,AvgCS,Floor,Ceiling,Avg,StD,FC Proj,My Proj,Exp.,Used,Con.,Value
47151,vs SB,LCK LPL Main,Ghost,ADC,P,DWG,3,-725.0,87.7%,10200,3.4,2.1,5.5,281.0,46.0,129.8,57.3,33.5,79.51,79.51,100,,42,7.8
47151,vs SN,LCK LPL Main,SamD,ADC,Y,V5,3,-167.5,62.5%,9900,4.2,1.5,5.7,308.0,50.7,105.7,78.2,22.0,72.74,72.74,100,,72,7.3
47151,vs APK,LCK LPL Main,Mystic,ADC,P,AF,3,-482.5,82.6%,9700,3.5,2.5,4.0,315.6,40.3,116.0,57.9,30.3,70.57,70.57,100,,48,7.3
47151,vs RNG,LCK LPL Main,Kramer,ADC,Y,LGD,3,-117.5,54.1%,9500,3.8,2.4,5.9,283.2,45.9,117.7,68.5,28.7,74.64,74.64,100,,58,7.9
47151,vs LGD,LCK LPL Main,Gala,ADC,N,RNG,3,117.5,46%,9400,3.1,2.1,5.5,305.3,0.0,49.8,62.7,33.2,0.0,0.0,100,,47,0.0
47151,vs V5,LCK LPL Main,huanfeng,ADC,Y,SN,3,167.5,37.4%,9100,4.3,2.3,5.2,317.8,18.3,93.3,74.2,30.0,48.25,48.25,100,,60,5.3
47151,vs SB,LCK LPL Main,ShowMaker,MID,P,DWG,3,-725.0,87.7%,9100,3.4,1.4,5.2,280.4,51.2,130.2,59.1,31.6,82.83,82.83,100,,47,9.1
47151,vs LGD,LCK LPL Main,Betty,ADC,Y,RNG,3,117.5,46%,9000,4.1,1.6,5.2,284.1,22.1,95.9,72.1,29.5,51.62,51.62,100,,59,5.7
47151,vs AF,LCK LPL Main,HyBriD,ADC,P,APK,3,482.5,17.2%,8900,3.5,2.5,2.8,344.3,7.9,86.1,53.0,31.3,39.18,39.18,100,,41,4.4
47151,vs SN,LCK LPL Main,Mole,MID,Y,V5,3,-167.5,62.5%,8800,2.7,3.1,5.2,225.8,49.7,111.7,49.9,24.8,74.54,74.54,100,,50,8.5
47151,vs DWG,LCK LPL Main,Route,ADC,P,SB,3,725.0,12.1%,8700,2.9,2.0,4.1,311.3,4.5,93.7,56.4,35.7,40.18,40.18,100,,37,4.6
47151,vs SB,LCK LPL Main,Canyon,JNG,P,DWG,3,-725.0,87.7%,8700,1.9,2.2,6.2,177.2,33.4,103.9,47.8,28.2,61.62,61.62,100,,41,7.1
47151,vs SN,LCK LPL Main,y4,ADC,N,V5,3,-167.5,62.5%,8600,2.4,3.4,4.4,169.8,0.0,21.2,33.7,14.1,0.0,0.0,100,,58,0.0
47151,vs APK,LCK LPL Main,Fly,MID,P,AF,3,-482.5,82.6%,8600,2.2,2.3,4.8,254.4,30.0,103.2,46.5,29.3,59.26,59.26,100,,37,6.9
47151,vs SB,LCK LPL Main,Nuguri,TOP,P,DWG,3,-725.0,87.7%,8600,2.8,3.2,4.8,283.9,35.5,109.0,50.9,29.4,64.89,64.89,100,,42,7.5
47151,vs DWG,LCK LPL Main,Leo,ADC,D,SB,3,725.0,12.1%,8500,2.9,1.7,4.6,343.5,0.0,38.3,52.8,25.5,0.0,0.0,100,,52,0.0
47151,vs SN,LCK LPL Main,Weiwei,JNG,Y,V5,3,-167.5,62.5%,8500,3.3,1.2,7.1,186.8,35.6,88.1,73.7,21.0,56.61,56.61,100,,72,6.7
47151,vs RNG,LCK LPL Main,xiye,MID,Y,LGD,3,-117.5,54.1%,8500,3.6,2.5,5.3,260.3,19.2,82.7,60.4,25.4,44.62,44.62,100,,58,5.2
47151,vs APK,LCK LPL Main,SS,ADC,D,AF,3,-482.5,82.6%,8500,1.5,2.0,1.5,351.8,0.0,21.9,21.6,14.6,0.0,0.0,100,,0,0.0
