id,site,league,slate,site_id,name,period,max_entries,max_entrants,cost,prizepool,places_paid,total_entrants,winning_score,mincash_score,startdate,winning_payout,mincash_payout,DateTime,Title,game_cnt,winner_cnt,winner,has_lineups
531097490,draftkings,LOL,38723,90195969,LOL $35K Shock Blast [$10K to 1st] (LPL-LEC-LCS),2020-08-22,82,2745,15.0,35000.0,,,,,1598086800,,,2020-08-22 05:00:00,(LPL/LEC/LCS),3,0,,0
530718405,fanduel,LOL,48647,48647-236616867,$100 Sat LOL Minion Wave,2020-08-22,71,2395,0.05,100.0,,,,,1598083200,,,2020-08-22 04:00:00,LCK Main,2,0,,0
530718410,fanduel,LOL,48647,48647-236616896,$8K Sat LOL Nexus ($2K to 1st),2020-08-22,51,1716,5.55,8000.0,,,,,1598083200,,,2020-08-22 04:00:00,LCK Main,2,0,,0
531097411,draftkings,LOL,38571,90195779,LOL $15K Kill Lane [$5K to 1st] (LCK),2020-08-22,44,1470,12.0,15000.0,,,,,1598083200,,,2020-08-22 04:00:00,(LCK),2,0,,0
531097423,draftkings,LOL,38571,90195771,LOL $1K First Blood (LCK),2020-08-22,20,1189,1.0,1000.0,,,,,1598083200,,,2020-08-22 04:00:00,(LCK),2,0,,0
531097427,draftkings,LOL,38571,90195777,LOL $250 Quarter Jukebox [Just $0.25!] (LCK),2020-08-22,20,1189,0.25,250.0,,,,,1598083200,,,2020-08-22 04:00:00,(LCK),2,0,,0
531097428,draftkings,LOL,38571,90195776,LOL $100 Dime Time [Just $0.10!] (LCK),2020-08-22,20,1189,0.1,100.0,,,,,1598083200,,,2020-08-22 04:00:00,(LCK),2,0,,0
531097505,draftkings,LOL,38723,90195953,LOL $1K First Blood (LPL-LEC-LCS),2020-08-22,20,1189,1.0,1000.0,,,,,1598086800,,,2020-08-22 05:00:00,(LPL/LEC/LCS),3,0,,0
531097508,draftkings,LOL,38723,90195958,LOL $250 Quarter Jukebox [Just $0.25!] (LPL-LEC-LCS),2020-08-22,20,1189,0.25,250.0,,,,,1598086800,,,2020-08-22 05:00:00,(LPL/LEC/LCS),3,0,,0
531097509,draftkings,LOL,38723,90195957,LOL $100 Dime Time [Just $0.10!] (LPL-LEC-LCS),2020-08-22,20,1189,0.1,100.0,,,,,1598086800,,,2020-08-22 05:00:00,(LPL/LEC/LCS),3,0,,0
531204907,draftkings,LOL,38724,90207106,LOL $10K Titan's Fury [$2K to 1st] (LEC-LCS),2020-08-22,35,1176,10.0,10000.0,,,,,1598108400,,,2020-08-22 11:00:00,(LEC/LCS),2,0,,0
531204920,draftkings,LOL,38724,90207097,LOL $150 Quarter Jukebox [Just $0.25!] (LEC-LCS),2020-08-22,20,713,0.25,150.0,,,,,1598108400,,,2020-08-22 11:00:00,(LEC/LCS),2,0,,0
531097495,draftkings,LOL,38723,90195956,LOL $2K Elder Dragon (LPL-LEC-LCS),2020-08-22,17,594,4.0,2000.0,,,,,1598086800,,,2020-08-22 05:00:00,(LPL/LEC/LCS),3,0,,0
531204922,draftkings,LOL,38724,90207102,LOL $50 Dime Time [Just $0.10!] (LEC-LCS),2020-08-22,17,594,0.1,50.0,,,,,1598108400,,,2020-08-22 11:00:00,(LEC/LCS),2,0,,0
530718411,fanduel,LOL,48647,48647-236616872,$100 Sat LOL Turret ($0.25 to Enter),2020-08-22,14,479,0.25,100.0,,,,,1598083200,,,2020-08-22 04:00:00,LCK Main,2,0,,0
531097414,draftkings,LOL,38571,90195773,LOL $1.5K Elder Dragon (LCK),2020-08-22,13,445,4.0,1500.0,,,,,1598083200,,,2020-08-22 04:00:00,(LCK),2,0,,0
528541290,fanduel_single,LOL,48506,48506-236457147,$1K LOL Nexus,2020-08-22,11,396,3.0,1000.0,,,,,1598086800,,,2020-08-22 05:00:00,SN @ TES,1,0,,0
531204910,draftkings,LOL,38724,90207095,LOL $1K Critical Strike (LEC-LCS),2020-08-22,11,396,3.0,1000.0,,,,,1598108400,,,2020-08-22 11:00:00,(LEC/LCS),2,0,,0
531281986,fanduel,LOL,48706,48706-236633698,$1K LOL Nexus,2020-08-22,11,396,3.0,1000.0,,,,,1598108400,,,2020-08-22 11:00:00,LEC LCS Playoffs,2,0,,0
531204919,draftkings,LOL,38724,90207094,LOL $300 First Blood (LEC-LCS),2020-08-22,10,356,1.0,300.0,,,,,1598108400,,,2020-08-22 11:00:00,(LEC/LCS),2,0,,0
531097502,draftkings,LOL,38723,90195959,LOL $750 Trident Slash [3 Entry Max] (LPL-LEC-LCS),2020-08-22,3,297,3.0,750.0,,,,,1598086800,,,2020-08-22 05:00:00,(LPL/LEC/LCS),3,0,,0
530718408,fanduel,LOL,48647,48647-236616890,$500 Sat LOL Teamfight (5 Entries Max),2020-08-22,5,268,2.22,500.0,,,,,1598083200,,,2020-08-22 04:00:00,LCK Main,2,0,,0
531402062,draftkings,LOL,38723,90224920,LOL $1 200-Player (Top 3 Win) (-LEC-LCS),2020-08-22,1,200,1.0,180.0,,,,,1598086800,,,2020-08-22 05:00:00,(LPL/LEC/LCS),3,0,,0
531097419,draftkings,LOL,38571,90195783,LOL $500 Trident Slash [3 Entry Max] (LCK),2020-08-22,3,198,3.0,500.0,,,,,1598083200,,,2020-08-22 04:00:00,(LCK),2,0,,0
531097418,draftkings,LOL,38571,90195786,LOL $600 Solo Fight [Single Entry] (LCK),2020-08-22,1,142,5.0,600.0,,,,,1598083200,,,2020-08-22 04:00:00,(LCK),2,0,,0
531097503,draftkings,LOL,38723,90195965,LOL $600 Solo Fight [Single Entry] (LPL-LEC-LCS),2020-08-22,1,142,5.0,600.0,,,,,1598086800,,,2020-08-22 05:00:00,(LPL/LEC/LCS),3,0,,0
528541291,fanduel_single,LOL,48506,48506-236457148,$100 LOL Tower Dive,2020-08-22,1,119,1.0,100.0,,,,,1598086800,,,2020-08-22 05:00:00,SN @ TES,1,0,,0
530718409,fanduel,LOL,48647,48647-236616874,$100 Sat LOL Tower Dive,2020-08-22,1,119,1.0,100.0,,,,,1598083200,,,2020-08-22 04:00:00,LCK Main,2,0,,0
531281987,fanduel,LOL,48706,48706-236633699,$100 LOL Tower Dive,2020-08-22,1,119,1.0,100.0,,,,,1598108400,,,2020-08-22 11:00:00,LEC LCS Playoffs,2,0,,0
531097510,draftkings,LOL,38723,90195954,LOL $100 Daily Dollar [Single Entry] (LPL-LEC-LCS),2020-08-22,1,118,1.0,100.0,,,,,1598086800,,,2020-08-22 05:00:00,(LPL/LEC/LCS),3,0,,0
531204911,draftkings,LOL,38724,90207105,LOL $500 Solo Fight [Single Entry] (LEC-LCS),2020-08-22,1,118,5.0,500.0,,,,,1598108400,,,2020-08-22 11:00:00,(LEC/LCS),2,0,,0
531097421,draftkings,LOL,38571,90195781, LOL Single Entry $5 Double Up (LCK),2020-08-22,1,114,5.0,500.0,,,,,1598083200,,,2020-08-22 04:00:00,(LCK),2,0,,0
531097500,draftkings,LOL,38723,90195962, LOL Single Entry $5 Double Up (LPL-LEC-LCS),2020-08-22,1,114,5.0,500.0,,,,,1598086800,,,2020-08-22 05:00:00,(LPL/LEC/LCS),3,0,,0
531097429,draftkings,LOL,38571,90195772,LOL $75 Daily Dollar [Single Entry] (LCK),2020-08-22,1,89,1.0,75.0,,,,,1598083200,,,2020-08-22 04:00:00,(LCK),2,0,,0
