"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"48706-120305","ADC","Perkz","Perkz","Perkz","46.50250244140625","24","10200","G2@ML","G2","ML","","","","",""
"48706-120222","ADC","Zven","Zven","Zven","42.26000037560096","26","9700","EG@C9","C9","EG","","","","",""
"48706-120359","ADC","Carzzy","Carzzy","Carzzy","35.69679931640625","25","9300","G2@ML","ML","G2","","","","",""
"48706-120306","MID","Caps","Caps","Caps","52.09769381009615","26","9300","G2@ML","G2","ML","","","","",""
"48706-120221","MID","Nisqy","Nisqy","Nisqy","44.59153864933894","26","8900","EG@C9","C9","EG","","","","",""
"48706-120237","ADC","Bang","Bang","Bang","33.19185158058449","27","8800","EG@C9","EG","C9","","","","",""
"48706-120304","JNG","Jankos","Jankos","Jankos","42.46153846153846","26","8600","G2@ML","G2","ML","","","","",""
"48706-120358","MID","Humanoid","Humanoid","Humanoid","34.16159912109375","25","8400","G2@ML","ML","G2","","","","",""
"48706-120220","JNG","Blaber","Blaber","Blaber","41.79769193209135","26","8200","EG@C9","C9","EG","","","","",""
"48706-120303","TOP","Wunder","Wunder","Wunder","37.849231426532455","26","8200","G2@ML","G2","ML","","","","",""
"48706-120274","MID","Goldenglue","Goldenglue","Goldenglue","26.815999348958332","15","8000","EG@C9","EG","C9","","","","",""
"48706-120308","SUP","Mikyx","Mikyx","Mikyx","35.338461068960335","26","8000","G2@ML","G2","ML","","","","",""
"48706-120710","TEAM","G2 eSports","G2 eSports","G2 eSports","27.03846153846154","26","7900","G2@ML","G2","ML","","","","",""
"48706-120332","JNG","Shadow","Shadow","Shadow","33.4839990234375","25","7900","G2@ML","ML","G2","","","","",""
"48706-120219","TOP","Licorice","Licorice","Licorice","37.20307804987981","26","7800","EG@C9","C9","EG","","","","",""
"48706-120700","TEAM","Cloud 9","Cloud 9","Cloud 9","29.26923076923077","26","7700","EG@C9","C9","EG","","","","",""
"48706-120331","TOP","Orome","Orome","Orome","28.0056005859375","25","7600","G2@ML","ML","G2","","","","",""
"48706-120223","SUP","Vulcan","Vulcan","Vulcan","33.38846059945914","26","7600","EG@C9","C9","EG","","","","",""
"48706-120715","TEAM","Mad Lions","Mad Lions","Mad Lions","22","25","7400","G2@ML","ML","G2","","","","",""
"48706-120235","JNG","Svenskeren","Svenskeren","Svenskeren","27.536295572916668","27","7400","EG@C9","EG","C9","","","","",""
"48706-120278","TOP","Huni","Huni","Huni","21.523334079318577","18","7300","EG@C9","EG","C9","","","","",""
"48706-120360","SUP","Kaiser","Kaiser","Kaiser","25.81199951171875","25","7200","G2@ML","ML","G2","","","","",""
"48706-120236","MID","Jiizuke","Jiizuke","Jiizuke","23.4560009765625","25","7200","EG@C9","EG","C9","","","","",""
"48706-120703","TEAM","Evil Geniuses","Evil Geniuses","Evil Geniuses","21.185185185185187","27","7100","EG@C9","EG","C9","","","","",""
"48706-120234","TOP","Kumo","Kumo","Kumo","17.89199951171875","25","6900","EG@C9","EG","C9","","","","",""
"48706-120238","SUP","Zeyzal","Zeyzal","Zeyzal","22.76148139105903","27","6900","EG@C9","EG","C9","","","","",""
"48706-120307","ADC","P1noy","P1noy","P1noy","2.3677777184380426","18","6200","G2@ML","G2","ML","","","","",""
