"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"47241-120222","ADC","Zven","Zven","Zven","41.079000854492186","20","10300","C9@TL","C9","TL","","","","",""
"47241-120237","ADC","Bang","Bang","Bang","31.26300048828125","20","10100","DIG@EG","EG","DIG","","","","",""
"47241-120271","ADC","Doublelift","Doublelift","Doublelift","23.662353515625","17","9700","CLG@TSM","TSM","CLG","","","","",""
"47241-120275","ADC","FBI","FBI","FBI","23.607777913411457","18","9400","GG@OHT","GG","OHT","","","","",""
"47241-120221","MID","Nisqy","Nisqy","Nisqy","43.56099853515625","20","9200","C9@TL","C9","TL","","","","",""
"47241-120248","ADC","Cody Sun","Cody Sun","Cody Sun","31.392999267578126","20","9100","GG@OHT","OHT","GG","","","","",""
"47241-120274","MID","Goldenglue","Goldenglue","Goldenglue","18.184999465942383","8","9000","DIG@EG","EG","DIG","","","","",""
"47241-120220","JNG","Blaber","Blaber","Blaber","40.867001342773435","20","8900","C9@TL","C9","TL","","","","",""
"47241-120269","ADC","Tactical","Tactical","Tactical","19.2564697265625","17","8800","C9@TL","TL","C9","","","","",""
"47241-120226","MID","Bjergsen","Bjergsen","Bjergsen","35.19578793174342","19","8700","CLG@TSM","TSM","CLG","","","","",""
"47241-120219","TOP","Licorice","Licorice","Licorice","33.439999389648435","20","8600","C9@TL","C9","TL","","","","",""
"47241-120235","JNG","Svenskeren","Svenskeren","Svenskeren","24.266999816894533","20","8600","DIG@EG","EG","DIG","","","","",""
"47241-120288","ADC","Stixxay","Stixxay","Stixxay","23.15529497931985","17","8500","CLG@TSM","CLG","TSM","","","","",""
"47241-131332","JNG","Spica","Spica","Spica","18.604615431565506","13","8300","CLG@TSM","TSM","CLG","","","","",""
"47241-120236","MID","Jiizuke","Jiizuke","Jiizuke","28.320001220703126","20","8300","DIG@EG","EG","DIG","","","","",""
"47241-120278","TOP","Huni","Huni","Huni","14.721818403764205","11","8300","DIG@EG","EG","DIG","","","","",""
"47241-131966","MID","Damonte","Damonte","Damonte","20.175384521484375","13","8300","GG@OHT","GG","OHT","","","","",""
"47241-120224","TOP","Broken Blade","Broken Blade","Broken Blade","27.462106805098685","19","8200","CLG@TSM","TSM","CLG","","","","",""
"47241-120247","MID","Ryoma","Ryoma","Ryoma","30.16300048828125","20","8200","GG@OHT","OHT","GG","","","","",""
"47241-120281","ADC","Johnsun","Johnsun","Johnsun","20.12444390190972","18","8200","DIG@EG","DIG","EG","","","","",""
"47241-120223","SUP","Vulcan","Vulcan","Vulcan","32.51700134277344","20","8000","C9@TL","C9","TL","","","","",""
"47241-120273","JNG","Closer","Closer","Closer","20.16888936360677","18","8000","GG@OHT","GG","OHT","","","","",""
"47241-120272","TOP","Hauntzer","Hauntzer","Hauntzer","16.80777825249566","18","8000","GG@OHT","GG","OHT","","","","",""
"47241-120234","TOP","Kumo","Kumo","Kumo","21.36499938964844","20","7900","DIG@EG","EG","DIG","","","","",""
"47241-120700","TEAM","Cloud 9","Cloud 9","Cloud 9","29.1","20","7900","C9@TL","C9","TL","","","","",""
"47241-120238","SUP","Zeyzal","Zeyzal","Zeyzal","21.508999633789063","20","7800","DIG@EG","EG","DIG","","","","",""
"47241-120245","TOP","Ssumday","Ssumday","Ssumday","25.770999145507812","20","7800","GG@OHT","OHT","GG","","","","",""
"47241-120268","MID","Jensen","Jensen","Jensen","23.988234576056986","17","7800","C9@TL","TL","C9","","","","",""
"47241-135010","JNG","Contractz","Contractz","Contractz","29.873334248860676","6","7800","GG@OHT","OHT","GG","","","","",""
"47241-120703","TEAM","Evil Geniuses","Evil Geniuses","Evil Geniuses","19.8","20","7800","DIG@EG","EG","DIG","","","","",""
"47241-120701","TEAM","Team SoloMid","Team SoloMid","Team SoloMid","23.63157894736842","19","7700","CLG@TSM","TSM","CLG","","","","",""
"47241-120707","TEAM","Golden Guardians","Golden Guardians","Golden Guardians","15.222222222222221","18","7600","GG@OHT","GG","OHT","","","","",""
"47241-120286","MID","Pobelter","Pobelter","Pobelter","20.53647030101103","17","7600","CLG@TSM","CLG","TSM","","","","",""
"47241-136182","SUP","Treatz","Treatz","Treatz","8","3","7600","CLG@TSM","TSM","CLG","","","","",""
"47241-120705","TEAM","100 Thieves","100 Thieves","100 Thieves","19.15","20","7500","GG@OHT","OHT","GG","","","","",""
"47241-120266","JNG","Broxah","Broxah","Broxah","19.896470013786764","17","7500","C9@TL","TL","C9","","","","",""
"47241-120276","SUP","Huhi","Huhi","Huhi","13.08999972873264","18","7500","GG@OHT","GG","OHT","","","","",""
"47241-120706","TEAM","Team Liquid","Team Liquid","Team Liquid","18","17","7400","C9@TL","TL","C9","","","","",""
"47241-135094","MID","Fenix","Fenix","Fenix","17.806666056315105","6","7400","DIG@EG","DIG","EG","","","","",""
"47241-120265","TOP","Impact","Impact","Impact","18.481176039751837","17","7400","C9@TL","TL","C9","","","","",""
"47241-135011","SUP","Poome","Poome","Poome","19.416666666666668","6","7400","GG@OHT","OHT","GG","","","","",""
"47241-120709","TEAM","Counter Logic Gaming","Counter Logic Gaming","Counter Logic Gaming","10.588235294117647","17","7300","CLG@TSM","CLG","TSM","","","","",""
"47241-120285","JNG","Wiggily","Wiggily","Wiggily","17.585881850298712","17","7300","CLG@TSM","CLG","TSM","","","","",""
"47241-120708","TEAM","Dignitas","Dignitas","Dignitas","12.055555555555555","18","7200","DIG@EG","DIG","EG","","","","",""
"47241-135707","TOP","Deus","Deus","Deus","0","2","7200","CLG@TSM","CLG","TSM","","","","",""
"47241-120228","SUP","Biofrost","Biofrost","Biofrost","16.303158408717106","19","7200","CLG@TSM","TSM","CLG","","","","",""
"47241-120270","SUP","CoreJJ","CoreJJ","CoreJJ","16.938823026769303","17","7200","C9@TL","TL","C9","","","","",""
"47241-120225","JNG","Dardoch","Dardoch","Dardoch","24.444000244140625","15","7000","DIG@EG","DIG","EG","","","","",""
"47241-120229","TOP","V1per","V1per","V1per","4.659000015258789","20","7000","DIG@EG","DIG","EG","","","","",""
"47241-120280","MID","Froggen","Froggen","Froggen","14.562666829427084","15","7000","DIG@EG","DIG","EG","","","","",""
"47241-120283","TOP","Ruin","Ruin","Ruin","17.749332682291666","15","7000","CLG@TSM","CLG","TSM","","","","",""
"47241-120290","SUP","Smoothie","Smoothie","Smoothie","13.410587983972887","17","6900","CLG@TSM","CLG","TSM","","","","",""
"47241-134666","TOP","Lourlo","Lourlo","Lourlo","12.414285932268415","7","6800","DIG@EG","DIG","EG","","","","",""
"47241-120279","JNG","Akaadian","Akaadian","Akaadian","11.5","15","6800","DIG@EG","DIG","EG","","","","",""
"47241-120282","SUP","aphromoo","aphromoo","aphromoo","11.125555250379774","18","6700","DIG@EG","DIG","EG","","","","",""
"47241-130700","TOP","TF Blade","TF Blade","TF Blade","0","5","6200","C9@TL","TL","C9","","","","",""
"47241-120289","ADC","Wind","Wind","Wind","0","9","6200","CLG@TSM","CLG","TSM","","","","",""
"47241-131701","SUP","JayJ","JayJ","JayJ","0","6","6200","DIG@EG","DIG","EG","","","","",""
