"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"48714-122760","ADC","Deft","Deft","Deft","74.19565217391305","23","10000","DRX@T1","DRX","T1","","","","",""
"48714-122714","ADC","Teddy","Teddy","Teddy","78.64083353678386","24","9800","DRX@T1","T1","DRX","","","","",""
"48714-126401","ADC","deokdam","deokdam","deokdam","54.2863127055921","19","9400","TD@HLE","TD","HLE","","","","",""
"48714-122758","MID","Chovy","Chovy","Chovy","73.21043329653533","23","9000","DRX@T1","DRX","T1","","","","",""
"48714-122959","ADC","Viper","Viper","GRF","45.83913255774456","23","9000","TD@HLE","HLE","TD","","","","",""
"48714-137274","MID","Clozer","Clozer","Clozer","64.34400024414063","5","8900","DRX@T1","T1","DRX","","","","",""
"48714-122757","JNG","Pyosik","Pyosik","Pyosik","69.90347953464673","23","8600","DRX@T1","DRX","T1","","","","",""
"48714-126400","MID","Kuzan","Kuzan","Kuzan","55.02210757606908","19","8400","TD@HLE","TD","HLE","","","","",""
"48714-122756","TOP","Doran","Doran","Doran","63.62521760360055","23","8300","DRX@T1","DRX","T1","","","","",""
"48714-122710","JNG","Cuzz","Cuzz","Cuzz","56.94727117365057","22","8200","DRX@T1","T1","DRX","","","","",""
"48714-122709","TOP","Canna","Canna","Canna","67.96500142415364","24","8100","DRX@T1","T1","DRX","","","","",""
"48714-122761","SUP","Keria","Keria","Keria","58.869565217391305","23","8000","DRX@T1","DRX","T1","","","","",""
"48714-131336","MID","Mireu","Mireu","Mireu","29.59166717529297","12","8000","TD@HLE","HLE","TD","","","","",""
"48714-126399","JNG","Beyond","Beyond","Beyond","46.72736880653783","19","7900","TD@HLE","TD","HLE","","","","",""
"48714-122762","TEAM","DragonX","DragonX","DragonX","49","23","7800","DRX@T1","DRX","T1","","","","",""
"48714-126398","TOP","Rich","Rich","Rich","50.07368549547697","19","7800","TD@HLE","TD","HLE","","","","",""
"48714-122716","SUP","Effort","Effort","Effort","49.81583150227865","24","7700","DRX@T1","T1","DRX","","","","",""
"48714-122718","TEAM","T1","T1","T1","48","24","7500","DRX@T1","T1","DRX","","","","",""
"48714-126403","TEAM","Team Dynamics","Team Dynamics","Team Dynamics","34.78947368421053","19","7400","TD@HLE","TD","HLE","","","","",""
"48714-126402","SUP","GuGer","GuGer","GuGer","37.929472270764805","19","7400","TD@HLE","TD","HLE","","","","",""
"48714-131335","JNG","YeongJae","YeongJae","YeongJae","15.712499618530273","8","7400","TD@HLE","HLE","TD","","","","",""
"48714-130697","TOP","DuDu","DuDu","DuDu","24.299999237060547","16","7300","TD@HLE","HLE","TD","","","","",""
"48714-122867","TEAM","Hanwha Life Esports","Hanwha Life Esports","Hanwha Life Esports","21.818181818181817","22","7100","TD@HLE","HLE","TD","","","","",""
"48714-122711","JNG","Ellim","Ellim","Ellim","18.115000406901043","12","7000","DRX@T1","T1","DRX","","","","",""
"48714-122866","SUP","Lehends","Lehends","Lehends","27.53818303888494","22","6900","TD@HLE","HLE","TD","","","","",""
"48714-131334","JNG","CaD","CaD","CaD","14.81499989827474","12","6200","TD@HLE","HLE","TD","","","","",""
"48714-122759","MID","Quad","Quad","Quad","1.3333333333333333","15","6200","DRX@T1","DRX","T1","","","","",""
"48714-123079","ADC","Vsta","Vsta","Vsta","21.78181873668324","11","6200","TD@HLE","HLE","TD","","","","",""
"48714-122708","TOP","Roach","Roach","Roach","0","10","6200","DRX@T1","T1","DRX","","","","",""
"48714-122712","MID","Faker","Faker","Faker","62.1760009765625","20","6200","DRX@T1","T1","DRX","","","","",""
"48714-122715","ADC","Gumayusi","Gumayusi","Gumayusi","0","10","6200","DRX@T1","T1","DRX","","","","",""
"48714-122717","SUP","Kuri","Kuri","Kuri","1.0872727307406338","11","6200","DRX@T1","T1","DRX","","","","",""
"48714-122861","TOP","CuVee","CuVee","CuVee","26.653846153846153","13","6200","TD@HLE","HLE","TD","","","","",""
"48714-122862","JNG","Haru","Haru","Haru","27.497332763671874","15","6200","TD@HLE","HLE","TD","","","","",""
"48714-122864","MID","Lava","Lava","Lava","18.132000732421876","15","6200","TD@HLE","HLE","TD","","","","",""
