"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"47151-122858","ADC","Ghost","Ghost","Ghost","68.98750305175781","16","10200","SB@DWG","DWG","SB","","","","",""
"47151-131343","ADC","SamD","SamD","SamD","78.21999844637784","11","9900","V5@SN","V5","SN","","","","",""
"47151-122796","ADC","Mystic","Mystic","Mystic","57.82856968470982","14","9700","AF@SHO","AF","SHO","","","","",""
"47151-123033","ADC","Kramer","Kramer","Kramer","65.83412080652573","17","9500","RNG@LGD","LGD","RNG","","","","",""
"47151-123049","ADC","GALA","GALA","GALA","78.39749908447266","8","9400","RNG@LGD","RNG","LGD","","","","",""
"47151-123042","ADC","huanfeng","huanfeng","huanfeng","72.2249984741211","16","9100","V5@SN","SN","V5","","","","",""
"47151-122856","MID","ShowMaker","ShowMaker","ShowMaker","78.57499694824219","16","9100","SB@DWG","DWG","SB","","","","",""
"47151-122953","ADC","Betty","Betty","Betty","55.423530129825366","17","9000","RNG@LGD","RNG","LGD","","","","",""
"47151-122943","ADC","HyBriD","HyBriD","HyBriD","48.58000081380208","15","8900","AF@SHO","SHO","AF","","","","",""
"47151-123013","MID","Mole","Mole","Mole","53.6150016784668","16","8800","V5@SN","V5","SN","","","","",""
"47151-122909","ADC","Route","Route","Route","54.556251525878906","16","8700","SB@DWG","SB","DWG","","","","",""
"47151-122855","JNG","Canyon","Canyon","Canyon","61.560001373291016","16","8700","SB@DWG","DWG","SB","","","","",""
"47151-123015","ADC","y4","y4","y4","14.332308255709135","13","8600","V5@SN","V5","SN","","","","",""
"47151-122800","MID","Fly","Fly","AF","42.41846172626202","13","8600","AF@SHO","AF","SHO","","","","",""
"47151-122853","TOP","Nuguri","Nuguri","Nuguri","66.51000213623047","16","8600","SB@DWG","DWG","SB","","","","",""
"47151-122908","ADC","Leo","Leo","Leo","10.282857622419085","7","8500","SB@DWG","SB","DWG","","","","",""
"47151-123041","JNG","Weiwei","Weiwei","Weiwei","56.48571341378348","14","8500","V5@SN","V5","SN","","","","",""
"47151-123047","MID","xiye","xiye","xiye","61.6875","16","8500","RNG@LGD","LGD","RNG","","","","",""
"47151-122801","ADC","SS","SS","AF","0","8","8500","AF@SHO","AF","SHO","","","","",""
"47151-122942","ADC","Trigger","Trigger","Trigger","2.471428462437221","7","8500","AF@SHO","SHO","AF","","","","",""
"47151-122857","ADC","Nuclear","Nuclear","Nuclear","2.857142857142857","7","8500","SB@DWG","DWG","SB","","","","",""
"47151-123037","TOP","Biubiu","Biubiu","Biubiu","45.891427176339285","14","8400","V5@SN","V5","SN","","","","",""
"47151-122951","MID","Xiaohu","Xiaohu","Xiaohu","68.6647087545956","17","8400","RNG@LGD","RNG","LGD","","","","",""
"47151-122791","TOP","Kiin","Kiin","Kiin","48.84857177734375","14","8300","AF@SHO","AF","SHO","","","","",""
"47151-122793","JNG","Spirit","Spirit","Spirit","43.962855747767854","14","8300","AF@SHO","AF","SHO","","","","",""
"47151-123040","MID","Angel","Angel","Angel","72.38749694824219","16","8200","V5@SN","SN","V5","","","","",""
"47151-123030","JNG","Peanut","Peanut","Peanut","59.82941032858456","17","8100","RNG@LGD","LGD","RNG","","","","",""
"47151-122947","TOP","Langx","Langx","Langx","55.49888780381944","18","8100","RNG@LGD","LGD","RNG","","","","",""
"47151-122795","MID","ALL IN","ALL IN","ALL IN","22.197777642144096","9","8000","AF@SHO","AF","SHO","","","","",""
"47151-122950","JNG","XLB","XLB","XLB","60.85888671875","18","8000","RNG@LGD","RNG","LGD","","","","",""
"47151-131680","TOP","New","New","New","48.65636097301137","11","8000","RNG@LGD","RNG","LGD","","","","",""
"47151-122859","SUP","BeryL","BeryL","BeryL","58.3224983215332","16","8000","SB@DWG","DWG","SB","","","","",""
"47151-122860","TEAM","DAMWON Gaming","DAMWON Gaming","DAMWON Gaming","49.8125","16","8000","SB@DWG","DWG","SB","","","","",""
"47151-123012","JNG","xiaohan","xiaohan","xiaohan","13.352307833158052","13","7900","V5@SN","V5","SN","","","","",""
"47151-131342","SUP","ppgod","ppgod","ppgod","54.3127274946733","11","7900","V5@SN","V5","SN","","","","",""
"47151-122871","MID","Cryin","Cryin","Cryin","40.25230994591346","13","7900","RNG@LGD","RNG","LGD","","","","",""
"47151-123039","JNG","SofM","SofM","SofM","63.616249084472656","16","7800","V5@SN","SN","V5","","","","",""
"47151-123038","TOP","Bin","Bin","Bin","60.102500915527344","16","7800","V5@SN","SN","V5","","","","",""
"47151-122799","TEAM","Afreeca Freecs","Afreeca Freecs","Afreeca Freecs","33","14","7800","AF@SHO","AF","SHO","","","","",""
"47151-123018","TEAM","Victory Five","Victory Five","Victory Five","37.625","16","7700","V5@SN","V5","SN","","","","",""
"47151-122907","MID","FATE","FATE","FATE","51.46000017438616","14","7700","SB@DWG","SB","DWG","","","","",""
"47151-120365","MID","Mickey","Mickey","Mickey","26.411429268973215","14","7600","AF@SHO","SHO","AF","","","","",""
"47151-122797","SUP","Ben","Ben","Ben","29.06615271935096","13","7600","AF@SHO","AF","SHO","","","","",""
"47151-122936","TOP","ikssu","ikssu","ikssu","35.507999674479166","15","7600","AF@SHO","SHO","AF","","","","",""
"47151-122939","JNG","Flawless","Flawless","Flawless","35.198665364583334","15","7600","AF@SHO","SHO","AF","","","","",""
"47151-123014","MID","clx","clx","clx","12.598461444561298","13","7500","V5@SN","V5","SN","","","","",""
"47151-123031","MID","Yuuki","Yuuki","Yuuki","19.469999040876115","14","7500","RNG@LGD","LGD","RNG","","","","",""
"47151-122904","JNG","OnFleek","OnFleek","OnFleek","47.3224983215332","16","7500","SB@DWG","SB","DWG","","","","",""
"47151-122906","MID","Dove","Dove","Dove","24.98666720920139","9","7500","SB@DWG","SB","DWG","","","","",""
"47151-123036","TEAM","LGD Gaming","LGD Gaming","LGD Gaming","40.1764705882353","17","7500","RNG@LGD","LGD","RNG","","","","",""
"47151-123050","SUP","Mark","Mark","Mark","48.55125045776367","16","7500","RNG@LGD","LGD","RNG","","","","",""
"47151-122941","MID","Keine","Keine","Keine","2.0399999618530273","7","7500","AF@SHO","SHO","AF","","","","",""
"47151-122902","TOP","Summit","Summit","Summit","43.662353515625","17","7400","SB@DWG","SB","DWG","","","","",""
"47151-122905","JNG","Punch","Punch","Punch","12.528570992606026","7","7400","SB@DWG","SB","DWG","","","","",""
"47151-122794","JNG","Dread","Dread","Dread","2.2200000286102295","8","7400","AF@SHO","AF","SHO","","","","",""
"47151-122938","JNG","Kuma","Kuma","Kuma","0.4914285796029227","7","7400","AF@SHO","SHO","AF","","","","",""
"47151-122949","JNG","S1xu","S1xu","S1xu","0","11","7400","RNG@LGD","RNG","LGD","","","","",""
"47151-122962","SUP","Mingg","Ming","Mingg","48.11333211263021","18","7400","RNG@LGD","RNG","LGD","","","","",""
"47151-123093","TEAM","Royal Never Give Up","Royal Never Give Up","Royal Never Give Up","38.44444444444444","18","7400","RNG@LGD","RNG","LGD","","","","",""
"47151-131681","JNG","View","View","View","0","5","7400","V5@SN","SN","V5","","","","",""
"47151-122982","JNG","ping","ping","ping","0","13","7400","V5@SN","V5","SN","","","","",""
"47151-122798","SUP","Jelly","Jelly","Jelly","14.555555555555555","9","7300","AF@SHO","AF","SHO","","","","",""
"47151-122854","TOP","Flame","Flame","Flame","2.857142857142857","7","7300","SB@DWG","DWG","SB","","","","",""
"47151-123027","TOP","Lies","Lies","Lies","18.284285409109934","14","7200","RNG@LGD","LGD","RNG","","","","",""
"47151-123043","SUP","SwordArt","SwordArt","SwordArt","53.2287483215332","16","7200","V5@SN","SN","V5","","","","",""
"47151-123101","TEAM","Suning","Suning","Suning","44.625","16","7200","V5@SN","SN","V5","","","","",""
"47151-131338","TOP","Garvey","Garvey","Garvey","1.5399999618530273","8","7100","RNG@LGD","LGD","RNG","","","","",""
"47151-122944","SUP","Secret","Secret","Secret","26.517333984375","15","7100","AF@SHO","SHO","AF","","","","",""
"47151-122903","TOP","Lonely","Lonely","Lonely","0","6","7000","SB@DWG","SB","DWG","","","","",""
"47151-122792","TOP","Hoon","Hoon","Hoon","0","8","7000","AF@SHO","AF","SHO","","","","",""
