"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"47135-120323","ADC","Hans sama","Hans sama","Hans sama","28.315293255974264","17","10300","MG@ROG","ROG","MG","","","","",""
"47135-120318","ADC","Rekkles","Rekkles","Rekkles","38.82444593641493","18","10100","FTC@ML","FTC","ML","","","","",""
"47135-120305","ADC","Perkz","Perkz","Perkz","48.18588077320772","17","9800","G2@FCS","G2","FCS","","","","",""
"47135-120312","ADC","Upset","Upset","Upset","43.54222276475694","18","9500","OG@VIT","OG","VIT","","","","",""
"47135-120322","MID","Larssen","Larssen","Larssen","31.154117359834558","17","9300","MG@ROG","ROG","MG","","","","",""
"47135-120359","ADC","Carzzy","Carzzy","Carzzy","41.27111138237847","18","9300","FTC@ML","ML","FTC","","","","",""
"47135-120317","MID","Nemesis","Nemesis","Nemesis","29.871110704210068","18","9100","FTC@ML","FTC","ML","","","","",""
"47135-120321","JNG","Inspired","Inspired","Inspired","24.94352991440717","17","9000","MG@ROG","ROG","MG","","","","",""
"47135-120381","ADC","Crownshot","Crownshot","Crownshot","23.97733357747396","15","9000","SKG@ES","SKG","ES","","","","",""
"47135-120306","MID","Caps","Caps","Caps","54.29052734375","19","8900","G2@FCS","G2","FCS","","","","",""
"47135-120227","ADC","Kobbe","Kobbe","Kobbe","32.902354520909924","17","8800","MG@ROG","MG","ROG","","","","",""
"47135-120316","JNG","Selfmade","Selfmade","Selfmade","34.768890380859375","18","8700","FTC@ML","FTC","ML","","","","",""
"47135-120304","JNG","Jankos","Jankos","Jankos","44.9789460834704","19","8600","G2@FCS","G2","FCS","","","","",""
"47135-120320","TOP","Finn","Finn","Finn","23.261176614200366","17","8500","MG@ROG","ROG","MG","","","","",""
"47135-120366","ADC","Patrik","Patrik","Patrik","19.1586669921875","15","8500","SKG@ES","ES","SKG","","","","",""
"47135-120311","MID","Nukeduck","Nukeduck","Nukeduck","35.87111070421007","18","8500","OG@VIT","OG","VIT","","","","",""
"47135-120358","MID","Humanoid","Humanoid","Humanoid","37.638888888888886","18","8400","FTC@ML","ML","FTC","","","","",""
"47135-120310","JNG","Xerxe","Xerxe","Xerxe","32.25666639539931","18","8300","OG@VIT","OG","VIT","","","","",""
"47135-120314","TOP","Bwipo","Bwipo","Bwipo","28.91555447048611","18","8300","FTC@ML","FTC","ML","","","","",""
"47135-120332","JNG","Shadow","Shadow","Shadow","38.945556640625","18","8200","FTC@ML","ML","FTC","","","","",""
"47135-120436","ADC","Comp","Comp","Comp","24.282666015625","15","8200","OG@VIT","VIT","OG","","","","",""
"47135-120324","SUP","Vander","Vander","Vander","16.977646771599264","17","8000","MG@ROG","ROG","MG","","","","",""
"47135-131333","MID","ZaZee","ZaZee","ZaZee","23.939999667080965","11","8000","SKG@ES","SKG","ES","","","","",""
"47135-120303","TOP","Wunder","Wunder","Wunder","38.60105173211349","19","8000","G2@FCS","G2","FCS","","","","",""
"47135-125946","ADC","Neon","Neon","Neon","28.175555759006077","9","8000","G2@FCS","FCS","G2","","","","",""
"47135-120327","MID","FEBIVEN","FEBIVEN","FEBIVEN","21.462499618530273","16","7900","MG@ROG","MG","ROG","","","","",""
"47135-120713","TEAM","Rogue","Rogue","Rogue","20.58823529411765","17","7900","MG@ROG","ROG","MG","","","","",""
"47135-120379","JNG","Trick","Trick","Trick","17.75333251953125","15","7900","SKG@ES","SKG","ES","","","","",""
