"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"47299-120269","ADC","Tactical","Tactical","Tactical","20.273334079318577","18","10200","TL@DIG","TL","DIG","","","","",""
"47299-120271","ADC","Doublelift","Doublelift","Doublelift","24.394444783528645","18","9900","EG@TSM","TSM","EG","","","","",""
"47299-120237","ADC","Bang","Bang","Bang","30.521905808221724","21","9500","EG@TSM","EG","TSM","","","","",""
"47299-120268","MID","Jensen","Jensen","Jensen","23.536666870117188","18","9100","TL@DIG","TL","DIG","","","","",""
"47299-120281","ADC","Johnsun","Johnsun","Johnsun","21.87368453176398","19","9000","TL@DIG","DIG","TL","","","","",""
"47299-120226","MID","Bjergsen","Bjergsen","Bjergsen","35.00700073242187","20","8900","EG@TSM","TSM","EG","","","","",""
"47299-120266","JNG","Broxah","Broxah","Broxah","20.480000813802082","18","8800","TL@DIG","TL","DIG","","","","",""
"47299-120274","MID","Goldenglue","Goldenglue","Goldenglue","18.337777031792534","9","8500","EG@TSM","EG","TSM","","","","",""
"47299-131332","JNG","Spica","Spica","Spica","19.251427786690847","14","8300","EG@TSM","TSM","EG","","","","",""
"47299-120265","TOP","Impact","Impact","Impact","18.169999864366318","18","8200","TL@DIG","TL","DIG","","","","",""
"47299-120235","JNG","Svenskeren","Svenskeren","Svenskeren","23.351428803943453","21","8000","EG@TSM","EG","TSM","","","","",""
"47299-120236","MID","Jiizuke","Jiizuke","Jiizuke","26.971429734002974","21","8000","EG@TSM","EG","TSM","","","","",""
"47299-135094","MID","Fenix","Fenix","Fenix","23.099999564034597","7","8000","TL@DIG","DIG","TL","","","","",""
"47299-120270","SUP","CoreJJ","CoreJJ","CoreJJ","17.311111450195312","18","7900","TL@DIG","TL","DIG","","","","",""
"47299-120706","TEAM","Team Liquid","Team Liquid","Team Liquid","17.833333333333332","18","7800","TL@DIG","TL","DIG","","","","",""
"47299-120224","TOP","Broken Blade","Broken Blade","Broken Blade","27.670001220703124","20","7800","EG@TSM","TSM","EG","","","","",""
"47299-120278","TOP","Huni","Huni","Huni","14.803333282470703","12","7700","EG@TSM","EG","TSM","","","","",""
"47299-120225","JNG","Dardoch","Dardoch","Dardoch","26.306249618530273","16","7600","TL@DIG","DIG","TL","","","","",""
"47299-136182","SUP","Treatz","Treatz","Treatz","12.170000076293945","4","7600","EG@TSM","TSM","EG","","","","",""
"47299-120701","TEAM","Team SoloMid","Team SoloMid","Team SoloMid","23.6","20","7600","EG@TSM","TSM","EG","","","","",""
"47299-120703","TEAM","Evil Geniuses","Evil Geniuses","Evil Geniuses","19.38095238095238","21","7500","EG@TSM","EG","TSM","","","","",""
"47299-120708","TEAM","Dignitas","Dignitas","Dignitas","12.68421052631579","19","7300","TL@DIG","DIG","TL","","","","",""
"47299-120280","MID","Froggen","Froggen","Froggen","13.65250015258789","16","7300","TL@DIG","DIG","TL","","","","",""
"47299-120229","TOP","V1per","V1per","V1per","6.693333217075893","21","7200","TL@DIG","DIG","TL","","","","",""
"47299-120238","SUP","Zeyzal","Zeyzal","Zeyzal","21.035237630208332","21","7200","EG@TSM","EG","TSM","","","","",""
"47299-120228","SUP","Biofrost","Biofrost","Biofrost","15.48800048828125","20","7100","EG@TSM","TSM","EG","","","","",""
"47299-120279","JNG","Akaadian","Akaadian","Akaadian","10.78125","16","7000","TL@DIG","DIG","TL","","","","",""
"47299-120234","TOP","Kumo","Kumo","Kumo","20.347618466331845","21","7000","EG@TSM","EG","TSM","","","","",""
"47299-134666","TOP","Lourlo","Lourlo","Lourlo","10.862500190734863","8","6900","TL@DIG","DIG","TL","","","","",""
"47299-120282","SUP","aphromoo","aphromoo","aphromoo","12.78105243883635","19","6900","TL@DIG","DIG","TL","","","","",""
"47299-130700","TOP","TF Blade","TF Blade","TF Blade","0","6","6200","TL@DIG","TL","DIG","","","","",""
"47299-131701","SUP","JayJ","JayJ","JayJ","0","7","6100","TL@DIG","DIG","TL","","","","",""
